filepath,label,language,speaker,source,tool,condition,split,utt_id
${DATA_ROOT}/clips/634568_jCgweujQVV5haVF1_0002.wav,bonafide,hi-en,634568,mucs2021,none,clean,eval,634568_jCgweujQVV5haVF1_0002
${DATA_ROOT}/clips/205240_F4KjmwYhWvnpSE0m_0000.wav,bonafide,hi-en,205240,mucs2021,none,clean,eval,205240_F4KjmwYhWvnpSE0m_0000
${DATA_ROOT}/clips/445718_H6Z2BkcyVtiuiN7A_0000.wav,bonafide,hi-en,445718,mucs2021,none,clean,eval,445718_H6Z2BkcyVtiuiN7A_0000
${DATA_ROOT}/clips/912184_V11NDc0lxudGbWQU_0002.wav,bonafide,hi-en,912184,mucs2021,none,clean,eval,912184_V11NDc0lxudGbWQU_0002
${DATA_ROOT}/clips/870582_crdH0AI5aH25bEXe_0000.wav,bonafide,hi-en,870582,mucs2021,none,clean,eval,870582_crdH0AI5aH25bEXe_0000
${DATA_ROOT}/clips/205240_F4KjmwYhWvnpSE0m_0001.wav,bonafide,hi-en,205240,mucs2021,none,clean,eval,205240_F4KjmwYhWvnpSE0m_0001
${DATA_ROOT}/clips/457295_WgzliDtK6Htff0g2_0001.wav,bonafide,hi-en,457295,mucs2021,none,clean,eval,457295_WgzliDtK6Htff0g2_0001
${DATA_ROOT}/clips/541304_cyhxRWI0LoKYZvcw_0000.wav,bonafide,hi-en,541304,mucs2021,none,clean,eval,541304_cyhxRWI0LoKYZvcw_0000
${DATA_ROOT}/clips/445718_H6Z2BkcyVtiuiN7A_0001.wav,bonafide,hi-en,445718,mucs2021,none,clean,eval,445718_H6Z2BkcyVtiuiN7A_0001
${DATA_ROOT}/clips/445718_H6Z2BkcyVtiuiN7A_0002.wav,bonafide,hi-en,445718,mucs2021,none,clean,eval,445718_H6Z2BkcyVtiuiN7A_0002
${DATA_ROOT}/clips/584991_1ijxO93RTIJh2Rzv_0000.wav,bonafide,hi-en,584991,mucs2021,none,clean,eval,584991_1ijxO93RTIJh2Rzv_0000
${DATA_ROOT}/clips/177570_jSNK2zDaIvyZsMZp_0003.wav,bonafide,hi-en,177570,mucs2021,none,clean,eval,177570_jSNK2zDaIvyZsMZp_0003
${DATA_ROOT}/clips/541304_cyhxRWI0LoKYZvcw_0001.wav,bonafide,hi-en,541304,mucs2021,none,clean,eval,541304_cyhxRWI0LoKYZvcw_0001
${DATA_ROOT}/clips/106718_vE1rhq3ojNKZvQNv_0003.wav,bonafide,hi-en,106718,mucs2021,none,clean,eval,106718_vE1rhq3ojNKZvQNv_0003
${DATA_ROOT}/clips/850754_wOTMMvC3WQ5YQRAF_0002.wav,bonafide,hi-en,850754,mucs2021,none,clean,eval,850754_wOTMMvC3WQ5YQRAF_0002
${DATA_ROOT}/clips/186783_LFpbaXkb8HuQ6DnF_0002.wav,bonafide,hi-en,186783,mucs2021,none,clean,eval,186783_LFpbaXkb8HuQ6DnF_0002
${DATA_ROOT}/clips/705494_fZcxLszRnIHxmVQp_0002.wav,bonafide,hi-en,705494,mucs2021,none,clean,eval,705494_fZcxLszRnIHxmVQp_0002
${DATA_ROOT}/clips/893273_8xh3ZKpPy5YhAnKX_0000.wav,bonafide,hi-en,893273,mucs2021,none,clean,eval,893273_8xh3ZKpPy5YhAnKX_0000
${DATA_ROOT}/clips/584991_1ijxO93RTIJh2Rzv_0001.wav,bonafide,hi-en,584991,mucs2021,none,clean,eval,584991_1ijxO93RTIJh2Rzv_0001
${DATA_ROOT}/clips/539354_C3MtnFEDrRkWHSvJ_0002.wav,bonafide,hi-en,539354,mucs2021,none,clean,eval,539354_C3MtnFEDrRkWHSvJ_0002
${DATA_ROOT}/clips/541304_cyhxRWI0LoKYZvcw_0002.wav,bonafide,hi-en,541304,mucs2021,none,clean,eval,541304_cyhxRWI0LoKYZvcw_0002
${DATA_ROOT}/clips/705494_fZcxLszRnIHxmVQp_0003.wav,bonafide,hi-en,705494,mucs2021,none,clean,eval,705494_fZcxLszRnIHxmVQp_0003
${DATA_ROOT}/clips/870582_crdH0AI5aH25bEXe_0001.wav,bonafide,hi-en,870582,mucs2021,none,clean,eval,870582_crdH0AI5aH25bEXe_0001
${DATA_ROOT}/clips/457295_WgzliDtK6Htff0g2_0002.wav,bonafide,hi-en,457295,mucs2021,none,clean,eval,457295_WgzliDtK6Htff0g2_0002
${DATA_ROOT}/clips/870582_crdH0AI5aH25bEXe_0002.wav,bonafide,hi-en,870582,mucs2021,none,clean,eval,870582_crdH0AI5aH25bEXe_0002
${DATA_ROOT}/clips/322882_XTscbPr78nzuHhuu_0001.wav,bonafide,hi-en,322882,mucs2021,none,clean,eval,322882_XTscbPr78nzuHhuu_0001
${DATA_ROOT}/clips/177570_jSNK2zDaIvyZsMZp_0004.wav,bonafide,hi-en,177570,mucs2021,none,clean,eval,177570_jSNK2zDaIvyZsMZp_0004
${DATA_ROOT}/clips/876898_RyQSvr4r4iAMTYXq_0001.wav,bonafide,hi-en,876898,mucs2021,none,clean,eval,876898_RyQSvr4r4iAMTYXq_0001
${DATA_ROOT}/clips/584991_1ijxO93RTIJh2Rzv_0002.wav,bonafide,hi-en,584991,mucs2021,none,clean,eval,584991_1ijxO93RTIJh2Rzv_0002
${DATA_ROOT}/clips/457295_WgzliDtK6Htff0g2_0003.wav,bonafide,hi-en,457295,mucs2021,none,clean,eval,457295_WgzliDtK6Htff0g2_0003
${DATA_ROOT}/clips/413057_aKSsdMqkPfUWyYeS_0000.wav,bonafide,hi-en,413057,mucs2021,none,clean,eval,413057_aKSsdMqkPfUWyYeS_0000
${DATA_ROOT}/clips/893273_8xh3ZKpPy5YhAnKX_0001.wav,bonafide,hi-en,893273,mucs2021,none,clean,eval,893273_8xh3ZKpPy5YhAnKX_0001
${DATA_ROOT}/clips/996368_n4ACC4gnqW0IM1wW_0001.wav,bonafide,hi-en,996368,mucs2021,none,clean,eval,996368_n4ACC4gnqW0IM1wW_0001
${DATA_ROOT}/clips/539354_C3MtnFEDrRkWHSvJ_0003.wav,bonafide,hi-en,539354,mucs2021,none,clean,eval,539354_C3MtnFEDrRkWHSvJ_0003
${DATA_ROOT}/clips/457295_WgzliDtK6Htff0g2_0004.wav,bonafide,hi-en,457295,mucs2021,none,clean,eval,457295_WgzliDtK6Htff0g2_0004
${DATA_ROOT}/clips/413057_aKSsdMqkPfUWyYeS_0001.wav,bonafide,hi-en,413057,mucs2021,none,clean,eval,413057_aKSsdMqkPfUWyYeS_0001
${DATA_ROOT}/clips/142970_DP5j8CLDeL6HHHSX_0003.wav,bonafide,hi-en,142970,mucs2021,none,clean,eval,142970_DP5j8CLDeL6HHHSX_0003
${DATA_ROOT}/clips/903756_K3X6AGezGWAoDe1q_0002.wav,bonafide,hi-en,903756,mucs2021,none,clean,eval,903756_K3X6AGezGWAoDe1q_0002
${DATA_ROOT}/clips/457295_WgzliDtK6Htff0g2_0005.wav,bonafide,hi-en,457295,mucs2021,none,clean,eval,457295_WgzliDtK6Htff0g2_0005
${DATA_ROOT}/clips/996368_n4ACC4gnqW0IM1wW_0002.wav,bonafide,hi-en,996368,mucs2021,none,clean,eval,996368_n4ACC4gnqW0IM1wW_0002
${DATA_ROOT}/clips/584991_1ijxO93RTIJh2Rzv_0003.wav,bonafide,hi-en,584991,mucs2021,none,clean,eval,584991_1ijxO93RTIJh2Rzv_0003
${DATA_ROOT}/clips/457295_WgzliDtK6Htff0g2_0006.wav,bonafide,hi-en,457295,mucs2021,none,clean,eval,457295_WgzliDtK6Htff0g2_0006
${DATA_ROOT}/clips/705494_fZcxLszRnIHxmVQp_0004.wav,bonafide,hi-en,705494,mucs2021,none,clean,eval,705494_fZcxLszRnIHxmVQp_0004
${DATA_ROOT}/clips/177570_jSNK2zDaIvyZsMZp_0005.wav,bonafide,hi-en,177570,mucs2021,none,clean,eval,177570_jSNK2zDaIvyZsMZp_0005
${DATA_ROOT}/clips/142970_DP5j8CLDeL6HHHSX_0004.wav,bonafide,hi-en,142970,mucs2021,none,clean,eval,142970_DP5j8CLDeL6HHHSX_0004
${DATA_ROOT}/clips/584991_1ijxO93RTIJh2Rzv_0004.wav,bonafide,hi-en,584991,mucs2021,none,clean,eval,584991_1ijxO93RTIJh2Rzv_0004
${DATA_ROOT}/clips/987461_LSRBJiHdUoHm4BTI_0000.wav,bonafide,hi-en,987461,mucs2021,none,clean,eval,987461_LSRBJiHdUoHm4BTI_0000
${DATA_ROOT}/clips/541304_cyhxRWI0LoKYZvcw_0003.wav,bonafide,hi-en,541304,mucs2021,none,clean,eval,541304_cyhxRWI0LoKYZvcw_0003
${DATA_ROOT}/clips/205240_F4KjmwYhWvnpSE0m_0002.wav,bonafide,hi-en,205240,mucs2021,none,clean,eval,205240_F4KjmwYhWvnpSE0m_0002
${DATA_ROOT}/clips/705494_fZcxLszRnIHxmVQp_0005.wav,bonafide,hi-en,705494,mucs2021,none,clean,eval,705494_fZcxLszRnIHxmVQp_0005
${DATA_ROOT}/clips/322882_XTscbPr78nzuHhuu_0002.wav,bonafide,hi-en,322882,mucs2021,none,clean,eval,322882_XTscbPr78nzuHhuu_0002
${DATA_ROOT}/clips/186783_LFpbaXkb8HuQ6DnF_0003.wav,bonafide,hi-en,186783,mucs2021,none,clean,eval,186783_LFpbaXkb8HuQ6DnF_0003
${DATA_ROOT}/clips/912184_V11NDc0lxudGbWQU_0003.wav,bonafide,hi-en,912184,mucs2021,none,clean,eval,912184_V11NDc0lxudGbWQU_0003
${DATA_ROOT}/clips/445718_H6Z2BkcyVtiuiN7A_0003.wav,bonafide,hi-en,445718,mucs2021,none,clean,eval,445718_H6Z2BkcyVtiuiN7A_0003
${DATA_ROOT}/clips/975912_1eNS3GaW1oHHurL4_0003.wav,bonafide,hi-en,975912,mucs2021,none,clean,eval,975912_1eNS3GaW1oHHurL4_0003
${DATA_ROOT}/clips/705494_fZcxLszRnIHxmVQp_0006.wav,bonafide,hi-en,705494,mucs2021,none,clean,eval,705494_fZcxLszRnIHxmVQp_0006
${DATA_ROOT}/clips/987461_LSRBJiHdUoHm4BTI_0001.wav,bonafide,hi-en,987461,mucs2021,none,clean,eval,987461_LSRBJiHdUoHm4BTI_0001
${DATA_ROOT}/clips/705494_fZcxLszRnIHxmVQp_0007.wav,bonafide,hi-en,705494,mucs2021,none,clean,eval,705494_fZcxLszRnIHxmVQp_0007
${DATA_ROOT}/clips/893273_8xh3ZKpPy5YhAnKX_0002.wav,bonafide,hi-en,893273,mucs2021,none,clean,eval,893273_8xh3ZKpPy5YhAnKX_0002
${DATA_ROOT}/clips/539226_vZGSoJPH1tbvsyCa_0000.wav,bonafide,hi-en,539226,mucs2021,none,clean,eval,539226_vZGSoJPH1tbvsyCa_0000
${DATA_ROOT}/clips/996368_n4ACC4gnqW0IM1wW_0003.wav,bonafide,hi-en,996368,mucs2021,none,clean,eval,996368_n4ACC4gnqW0IM1wW_0003
${DATA_ROOT}/clips/850754_wOTMMvC3WQ5YQRAF_0003.wav,bonafide,hi-en,850754,mucs2021,none,clean,eval,850754_wOTMMvC3WQ5YQRAF_0003
${DATA_ROOT}/clips/541304_cyhxRWI0LoKYZvcw_0004.wav,bonafide,hi-en,541304,mucs2021,none,clean,eval,541304_cyhxRWI0LoKYZvcw_0004
${DATA_ROOT}/clips/186783_LFpbaXkb8HuQ6DnF_0004.wav,bonafide,hi-en,186783,mucs2021,none,clean,eval,186783_LFpbaXkb8HuQ6DnF_0004
${DATA_ROOT}/clips/912184_V11NDc0lxudGbWQU_0004.wav,bonafide,hi-en,912184,mucs2021,none,clean,eval,912184_V11NDc0lxudGbWQU_0004
${DATA_ROOT}/clips/457295_WgzliDtK6Htff0g2_0007.wav,bonafide,hi-en,457295,mucs2021,none,clean,eval,457295_WgzliDtK6Htff0g2_0007
${DATA_ROOT}/clips/893273_8xh3ZKpPy5YhAnKX_0003.wav,bonafide,hi-en,893273,mucs2021,none,clean,eval,893273_8xh3ZKpPy5YhAnKX_0003
${DATA_ROOT}/clips/870582_crdH0AI5aH25bEXe_0003.wav,bonafide,hi-en,870582,mucs2021,none,clean,eval,870582_crdH0AI5aH25bEXe_0003
${DATA_ROOT}/clips/142970_DP5j8CLDeL6HHHSX_0005.wav,bonafide,hi-en,142970,mucs2021,none,clean,eval,142970_DP5j8CLDeL6HHHSX_0005
${DATA_ROOT}/clips/584991_1ijxO93RTIJh2Rzv_0005.wav,bonafide,hi-en,584991,mucs2021,none,clean,eval,584991_1ijxO93RTIJh2Rzv_0005
${DATA_ROOT}/clips/445718_H6Z2BkcyVtiuiN7A_0004.wav,bonafide,hi-en,445718,mucs2021,none,clean,eval,445718_H6Z2BkcyVtiuiN7A_0004
${DATA_ROOT}/clips/797767_TRInoJRJxAX3qv5C_0001.wav,bonafide,hi-en,797767,mucs2021,none,clean,eval,797767_TRInoJRJxAX3qv5C_0001
${DATA_ROOT}/clips/457295_WgzliDtK6Htff0g2_0008.wav,bonafide,hi-en,457295,mucs2021,none,clean,eval,457295_WgzliDtK6Htff0g2_0008
${DATA_ROOT}/clips/142970_DP5j8CLDeL6HHHSX_0006.wav,bonafide,hi-en,142970,mucs2021,none,clean,eval,142970_DP5j8CLDeL6HHHSX_0006
${DATA_ROOT}/clips/413057_aKSsdMqkPfUWyYeS_0002.wav,bonafide,hi-en,413057,mucs2021,none,clean,eval,413057_aKSsdMqkPfUWyYeS_0002
${DATA_ROOT}/clips/903756_K3X6AGezGWAoDe1q_0003.wav,bonafide,hi-en,903756,mucs2021,none,clean,eval,903756_K3X6AGezGWAoDe1q_0003
${DATA_ROOT}/clips/322882_XTscbPr78nzuHhuu_0003.wav,bonafide,hi-en,322882,mucs2021,none,clean,eval,322882_XTscbPr78nzuHhuu_0003
${DATA_ROOT}/clips/876898_RyQSvr4r4iAMTYXq_0002.wav,bonafide,hi-en,876898,mucs2021,none,clean,eval,876898_RyQSvr4r4iAMTYXq_0002
${DATA_ROOT}/clips/850754_wOTMMvC3WQ5YQRAF_0004.wav,bonafide,hi-en,850754,mucs2021,none,clean,eval,850754_wOTMMvC3WQ5YQRAF_0004
${DATA_ROOT}/clips/413057_aKSsdMqkPfUWyYeS_0003.wav,bonafide,hi-en,413057,mucs2021,none,clean,eval,413057_aKSsdMqkPfUWyYeS_0003
${DATA_ROOT}/clips/539354_C3MtnFEDrRkWHSvJ_0004.wav,bonafide,hi-en,539354,mucs2021,none,clean,eval,539354_C3MtnFEDrRkWHSvJ_0004
${DATA_ROOT}/clips/541304_cyhxRWI0LoKYZvcw_0005.wav,bonafide,hi-en,541304,mucs2021,none,clean,eval,541304_cyhxRWI0LoKYZvcw_0005
${DATA_ROOT}/clips/445718_H6Z2BkcyVtiuiN7A_0005.wav,bonafide,hi-en,445718,mucs2021,none,clean,eval,445718_H6Z2BkcyVtiuiN7A_0005
${DATA_ROOT}/clips/584991_1ijxO93RTIJh2Rzv_0006.wav,bonafide,hi-en,584991,mucs2021,none,clean,eval,584991_1ijxO93RTIJh2Rzv_0006
${DATA_ROOT}/clips/539354_C3MtnFEDrRkWHSvJ_0005.wav,bonafide,hi-en,539354,mucs2021,none,clean,eval,539354_C3MtnFEDrRkWHSvJ_0005
${DATA_ROOT}/clips/903756_K3X6AGezGWAoDe1q_0004.wav,bonafide,hi-en,903756,mucs2021,none,clean,eval,903756_K3X6AGezGWAoDe1q_0004
${DATA_ROOT}/clips/106718_vE1rhq3ojNKZvQNv_0004.wav,bonafide,hi-en,106718,mucs2021,none,clean,eval,106718_vE1rhq3ojNKZvQNv_0004
${DATA_ROOT}/clips/797767_TRInoJRJxAX3qv5C_0002.wav,bonafide,hi-en,797767,mucs2021,none,clean,eval,797767_TRInoJRJxAX3qv5C_0002
${DATA_ROOT}/clips/142970_DP5j8CLDeL6HHHSX_0007.wav,bonafide,hi-en,142970,mucs2021,none,clean,eval,142970_DP5j8CLDeL6HHHSX_0007
${DATA_ROOT}/clips/457295_WgzliDtK6Htff0g2_0009.wav,bonafide,hi-en,457295,mucs2021,none,clean,eval,457295_WgzliDtK6Htff0g2_0009
${DATA_ROOT}/clips/445718_H6Z2BkcyVtiuiN7A_0006.wav,bonafide,hi-en,445718,mucs2021,none,clean,eval,445718_H6Z2BkcyVtiuiN7A_0006
${DATA_ROOT}/clips/177570_jSNK2zDaIvyZsMZp_0006.wav,bonafide,hi-en,177570,mucs2021,none,clean,eval,177570_jSNK2zDaIvyZsMZp_0006
${DATA_ROOT}/clips/177570_jSNK2zDaIvyZsMZp_0007.wav,bonafide,hi-en,177570,mucs2021,none,clean,eval,177570_jSNK2zDaIvyZsMZp_0007
${DATA_ROOT}/clips/912184_V11NDc0lxudGbWQU_0005.wav,bonafide,hi-en,912184,mucs2021,none,clean,eval,912184_V11NDc0lxudGbWQU_0005
${DATA_ROOT}/clips/322882_XTscbPr78nzuHhuu_0004.wav,bonafide,hi-en,322882,mucs2021,none,clean,eval,322882_XTscbPr78nzuHhuu_0004
${DATA_ROOT}/clips/445718_H6Z2BkcyVtiuiN7A_0007.wav,bonafide,hi-en,445718,mucs2021,none,clean,eval,445718_H6Z2BkcyVtiuiN7A_0007
${DATA_ROOT}/clips/322882_XTscbPr78nzuHhuu_0005.wav,bonafide,hi-en,322882,mucs2021,none,clean,eval,322882_XTscbPr78nzuHhuu_0005
${DATA_ROOT}/clips/106718_vE1rhq3ojNKZvQNv_0005.wav,bonafide,hi-en,106718,mucs2021,none,clean,eval,106718_vE1rhq3ojNKZvQNv_0005
${DATA_ROOT}/clips/893273_8xh3ZKpPy5YhAnKX_0004.wav,bonafide,hi-en,893273,mucs2021,none,clean,eval,893273_8xh3ZKpPy5YhAnKX_0004
${DATA_ROOT}/clips/996368_n4ACC4gnqW0IM1wW_0004.wav,bonafide,hi-en,996368,mucs2021,none,clean,eval,996368_n4ACC4gnqW0IM1wW_0004
${DATA_ROOT}/clips/445718_H6Z2BkcyVtiuiN7A_0008.wav,bonafide,hi-en,445718,mucs2021,none,clean,eval,445718_H6Z2BkcyVtiuiN7A_0008
${DATA_ROOT}/clips/903756_K3X6AGezGWAoDe1q_0005.wav,bonafide,hi-en,903756,mucs2021,none,clean,eval,903756_K3X6AGezGWAoDe1q_0005
${DATA_ROOT}/clips/996368_n4ACC4gnqW0IM1wW_0005.wav,bonafide,hi-en,996368,mucs2021,none,clean,eval,996368_n4ACC4gnqW0IM1wW_0005
${DATA_ROOT}/clips/186783_LFpbaXkb8HuQ6DnF_0005.wav,bonafide,hi-en,186783,mucs2021,none,clean,eval,186783_LFpbaXkb8HuQ6DnF_0005
${DATA_ROOT}/clips/457295_WgzliDtK6Htff0g2_0010.wav,bonafide,hi-en,457295,mucs2021,none,clean,eval,457295_WgzliDtK6Htff0g2_0010
${DATA_ROOT}/clips/457295_WgzliDtK6Htff0g2_0011.wav,bonafide,hi-en,457295,mucs2021,none,clean,eval,457295_WgzliDtK6Htff0g2_0011
${DATA_ROOT}/clips/876898_RyQSvr4r4iAMTYXq_0003.wav,bonafide,hi-en,876898,mucs2021,none,clean,eval,876898_RyQSvr4r4iAMTYXq_0003
${DATA_ROOT}/clips/584991_1ijxO93RTIJh2Rzv_0007.wav,bonafide,hi-en,584991,mucs2021,none,clean,eval,584991_1ijxO93RTIJh2Rzv_0007
${DATA_ROOT}/clips/177570_jSNK2zDaIvyZsMZp_0008.wav,bonafide,hi-en,177570,mucs2021,none,clean,eval,177570_jSNK2zDaIvyZsMZp_0008
${DATA_ROOT}/clips/457295_WgzliDtK6Htff0g2_0012.wav,bonafide,hi-en,457295,mucs2021,none,clean,eval,457295_WgzliDtK6Htff0g2_0012
${DATA_ROOT}/clips/876898_RyQSvr4r4iAMTYXq_0004.wav,bonafide,hi-en,876898,mucs2021,none,clean,eval,876898_RyQSvr4r4iAMTYXq_0004
${DATA_ROOT}/clips/322882_XTscbPr78nzuHhuu_0006.wav,bonafide,hi-en,322882,mucs2021,none,clean,eval,322882_XTscbPr78nzuHhuu_0006
${DATA_ROOT}/clips/177570_jSNK2zDaIvyZsMZp_0009.wav,bonafide,hi-en,177570,mucs2021,none,clean,eval,177570_jSNK2zDaIvyZsMZp_0009
${DATA_ROOT}/clips/445718_H6Z2BkcyVtiuiN7A_0009.wav,bonafide,hi-en,445718,mucs2021,none,clean,eval,445718_H6Z2BkcyVtiuiN7A_0009
${DATA_ROOT}/clips/322882_XTscbPr78nzuHhuu_0007.wav,bonafide,hi-en,322882,mucs2021,none,clean,eval,322882_XTscbPr78nzuHhuu_0007
${DATA_ROOT}/clips/912184_V11NDc0lxudGbWQU_0006.wav,bonafide,hi-en,912184,mucs2021,none,clean,eval,912184_V11NDc0lxudGbWQU_0006
${DATA_ROOT}/clips/106718_vE1rhq3ojNKZvQNv_0006.wav,bonafide,hi-en,106718,mucs2021,none,clean,eval,106718_vE1rhq3ojNKZvQNv_0006
${DATA_ROOT}/clips/445718_H6Z2BkcyVtiuiN7A_0010.wav,bonafide,hi-en,445718,mucs2021,none,clean,eval,445718_H6Z2BkcyVtiuiN7A_0010
${DATA_ROOT}/clips/903756_K3X6AGezGWAoDe1q_0006.wav,bonafide,hi-en,903756,mucs2021,none,clean,eval,903756_K3X6AGezGWAoDe1q_0006
${DATA_ROOT}/clips/177570_jSNK2zDaIvyZsMZp_0010.wav,bonafide,hi-en,177570,mucs2021,none,clean,eval,177570_jSNK2zDaIvyZsMZp_0010
${DATA_ROOT}/clips/413057_aKSsdMqkPfUWyYeS_0004.wav,bonafide,hi-en,413057,mucs2021,none,clean,eval,413057_aKSsdMqkPfUWyYeS_0004
${DATA_ROOT}/clips/987461_LSRBJiHdUoHm4BTI_0002.wav,bonafide,hi-en,987461,mucs2021,none,clean,eval,987461_LSRBJiHdUoHm4BTI_0002
${DATA_ROOT}/clips/876898_RyQSvr4r4iAMTYXq_0005.wav,bonafide,hi-en,876898,mucs2021,none,clean,eval,876898_RyQSvr4r4iAMTYXq_0005
${DATA_ROOT}/clips/106718_vE1rhq3ojNKZvQNv_0007.wav,bonafide,hi-en,106718,mucs2021,none,clean,eval,106718_vE1rhq3ojNKZvQNv_0007
${DATA_ROOT}/clips/912184_V11NDc0lxudGbWQU_0007.wav,bonafide,hi-en,912184,mucs2021,none,clean,eval,912184_V11NDc0lxudGbWQU_0007
