job_id,target_speaker,source_speaker,pool,source_utt_id,source_wav,start_seconds,end_seconds,duration_seconds,transcript,language,tool,output_path,seed
14,445718,705494,train,705494_fZcxLszRnIHxmVQp_0000,${DATA_ROOT}/raw/mucs2021/train/fZcxLszRnIHxmVQp.wav,0.0,7.0,7.0,लिबर ऑफिस impress में custom animation custom animation पर spoken tutorial में आपका स्वागत है,hi,rvc,rvc_445718_00014.wav,4214
15,445718,797767,train,797767_TRInoJRJxAX3qv5C_0000,${DATA_ROOT}/raw/mucs2021/train/TRInoJRJxAX3qv5C.wav,0.0,6.0,6.0,लिबर ऑफिस calc में linking पर spoken tutorial में आपका स्वागत है,hi,rvc,rvc_445718_00015.wav,4215
16,445718,850754,train,850754_wOTMMvC3WQ5YQRAF_0000,${DATA_ROOT}/raw/mucs2021/train/wOTMMvC3WQ5YQRAF.wav,0.0,7.0,7.0,लिबर ऑफिस में cells और शीट्स के साथ कार्य पर spoken tutorial में आपका स्वागत है,hi,rvc,rvc_445718_00016.wav,4216
17,445718,870582,train,870582_crdH0AI5aH25bEXe_0000,${DATA_ROOT}/raw/mucs2021/train/crdH0AI5aH25bEXe.wav,0.0,6.0,6.0,नमस्कार आपका फिर से स्वागत है इस ट्यूटोरियल में हम डेटाबेस में कुछ डेटा लिखेंगे,hi,rvc,rvc_445718_00017.wav,4217
18,445718,876898,train,876898_RyQSvr4r4iAMTYXq_0000,${DATA_ROOT}/raw/mucs2021/train/RyQSvr4r4iAMTYXq.wav,0.0,7.0,7.0,लिबर ऑफिस में data स्वरूपण यानि formatting data पर spoken tutorial में आपका स्वागत है,hi,rvc,rvc_445718_00018.wav,4218
19,445718,893273,train,893273_8xh3ZKpPy5YhAnKX_0000,${DATA_ROOT}/raw/mucs2021/train/8xh3ZKpPy5YhAnKX.wav,0.0,5.0,5.0,tux typing टक्स टाइपिंग के परिचय पर स्पोकन ट्यूटोरियल में आपका स्वागत है,hi,rvc,rvc_445718_00019.wav,4219
20,445718,903756,train,903756_K3X6AGezGWAoDe1q_0000,${DATA_ROOT}/raw/mucs2021/train/K3X6AGezGWAoDe1q.wav,2.0,6.0,4.0,libreoffice base पर इस spoken tutorial में आपका स्वागत है,hi,rvc,rvc_445718_00020.wav,4220
21,445718,912184,train,912184_V11NDc0lxudGbWQU_0000,${DATA_ROOT}/raw/mucs2021/train/V11NDc0lxudGbWQU.wav,0.0,7.0,7.0,नमस्कार! पिछले ट्यूटोरियल में हमने डेटा चुना और हमने सफलतापूर्वक अपने पेज पर डेटा दर्शाया,hi,rvc,rvc_445718_00021.wav,4221
22,445718,975912,train,975912_1eNS3GaW1oHHurL4_0000,${DATA_ROOT}/raw/mucs2021/train/1eNS3GaW1oHHurL4.wav,0.0,11.0,11.0,आपका फिर से स्वागत है हम इस send mail from not set in php dot ini एरर को कैसे व्यवस्थित करें,hi,rvc,rvc_445718_00022.wav,4222
23,445718,987461,train,987461_LSRBJiHdUoHm4BTI_0000,${DATA_ROOT}/raw/mucs2021/train/LSRBJiHdUoHm4BTI.wav,0.0,9.0,9.0,change password  ट्यूटोरियल के दूसरे भाग में आपका स्वागत है पिछले में हमने सीखा कि चेक कैसे करें यदि हमारा फार्म सब्मिट हो गया है,hi,rvc,rvc_445718_00023.wav,4223
24,445718,996368,train,996368_n4ACC4gnqW0IM1wW_0000,${DATA_ROOT}/raw/mucs2021/train/n4ACC4gnqW0IM1wW.wav,1.0,6.0,5.0,import marc file into koha पर स्पोकन ट्यूटोरियल में आपका स्वागत है,hi,rvc,rvc_445718_00024.wav,4224
25,445718,106718,train,106718_vE1rhq3ojNKZvQNv_0001,${DATA_ROOT}/raw/mucs2021/train/vE1rhq3ojNKZvQNv.wav,8.0,13.0,5.0,इस tutorial में आप सीखेंगे कि निम्न का उपयोग करके साधारण drawings कैसे करें,hi,rvc,rvc_445718_00025.wav,4225
26,445718,142970,train,142970_DP5j8CLDeL6HHHSX_0001,${DATA_ROOT}/raw/mucs2021/train/DP5j8CLDeL6HHHSX.wav,3.0,6.0,3.0,मैं इन स्ट्रिंग फंक्शंस के बारे में बताऊँगा जोकि यहाँ दिखाए गए हैं,hi,rvc,rvc_445718_00026.wav,4226
27,445718,177570,train,177570_jSNK2zDaIvyZsMZp_0001,${DATA_ROOT}/raw/mucs2021/train/jSNK2zDaIvyZsMZp.wav,8.0,11.0,3.0,इस tutorial में हम निम्न के बारे में सीखेंगे,hi,rvc,rvc_445718_00027.wav,4227
28,445718,186783,train,186783_LFpbaXkb8HuQ6DnF_0001,${DATA_ROOT}/raw/mucs2021/train/LFpbaXkb8HuQ6DnF.wav,3.0,9.0,6.0,लिबरऑफिस राइटर पर ट्यूटोरियल डॉक्युमेंट में संपादन के समय ट्रैक में बदलाव में आपका स्वागत है,hi,rvc,rvc_445718_00028.wav,4228
29,445718,205240,train,205240_F4KjmwYhWvnpSE0m_0001,${DATA_ROOT}/raw/mucs2021/train/F4KjmwYhWvnpSE0m.wav,11.0,14.0,3.0,हम यहाँ अपने डेटाबेस से पहले ही जुड़ चुके हैं,hi,rvc,rvc_445718_00029.wav,4229
30,445718,322882,train,322882_XTscbPr78nzuHhuu_0001,${DATA_ROOT}/raw/mucs2021/train/XTscbPr78nzuHhuu.wav,6.0,10.0,4.0,इस tutorial में हम निम्नलिखित सीखेंगे,hi,rvc,rvc_445718_00030.wav,4230
31,445718,413057,train,413057_aKSsdMqkPfUWyYeS_0001,${DATA_ROOT}/raw/mucs2021/train/aKSsdMqkPfUWyYeS.wav,6.0,10.0,4.0,इस tutorial में हम निम्न सीखेंगे:,hi,rvc,rvc_445718_00031.wav,4231
32,445718,457295,train,457295_WgzliDtK6Htff0g2_0002,${DATA_ROOT}/raw/mucs2021/train/WgzliDtK6Htff0g2.wav,10.0,13.0,3.0,draw पेज के लिए margins यानि हाशिया set करें,hi,rvc,rvc_445718_00032.wav,4232
33,445718,539226,train,539226_vZGSoJPH1tbvsyCa_0001,${DATA_ROOT}/raw/mucs2021/train/vZGSoJPH1tbvsyCa.wav,11.0,14.0,3.0,फिर हम एक पूर्ण जाँच करेंगे यह देखने के लिए यदि यह वाकई में कार्य कर रहा है,hi,rvc,rvc_445718_00033.wav,4233
34,445718,539354,train,539354_C3MtnFEDrRkWHSvJ_0001,${DATA_ROOT}/raw/mucs2021/train/C3MtnFEDrRkWHSvJ.wav,7.0,16.0,9.0,इस tutorial में हम लाइब्रेरी बनाना और ग्रुप बनाना सीखेंगे,hi,rvc,rvc_445718_00034.wav,4234
35,445718,541304,train,541304_cyhxRWI0LoKYZvcw_0001,${DATA_ROOT}/raw/mucs2021/train/cyhxRWI0LoKYZvcw.wav,3.0,9.0,6.0,इस tutorial में हम libreoffice में simple forms के बारे में सीखेंगे,hi,rvc,rvc_445718_00035.wav,4235
36,445718,584991,train,584991_1ijxO93RTIJh2Rzv_0001,${DATA_ROOT}/raw/mucs2021/train/1ijxO93RTIJh2Rzv.wav,8.0,15.0,7.0,इस tutorial में हम यह सीखेंगे कि slides के लिए backgrounds लेआउट कैसे लागू करें,hi,rvc,rvc_445718_00036.wav,4236
37,445718,634568,train,634568_jCgweujQVV5haVF1_0001,${DATA_ROOT}/raw/mucs2021/train/jCgweujQVV5haVF1.wav,6.0,12.0,6.0,इस tutorial में हम notes के बारे में और उनको print कैसे करना सीखेंगे,hi,rvc,rvc_445718_00037.wav,4237
38,445718,705494,train,705494_fZcxLszRnIHxmVQp_0001,${DATA_ROOT}/raw/mucs2021/train/fZcxLszRnIHxmVQp.wav,7.0,12.0,5.0,इस tutorial में हम impress में custom animation के बारे में सीखेंगे,hi,rvc,rvc_445718_00038.wav,4238
39,445718,797767,train,797767_TRInoJRJxAX3qv5C_0001,${DATA_ROOT}/raw/mucs2021/train/TRInoJRJxAX3qv5C.wav,6.0,10.0,4.0,इस tutorial में हम निम्न सीखेंगे:,hi,rvc,rvc_445718_00039.wav,4239
40,445718,850754,train,850754_wOTMMvC3WQ5YQRAF_0002,${DATA_ROOT}/raw/mucs2021/train/wOTMMvC3WQ5YQRAF.wav,9.0,13.0,4.0,रोव्स तथा columns को जोड़ना और डिलीट करना,hi,rvc,rvc_445718_00040.wav,4240
41,445718,870582,train,870582_crdH0AI5aH25bEXe_0001,${DATA_ROOT}/raw/mucs2021/train/crdH0AI5aH25bEXe.wav,6.0,10.0,4.0,यह करने के लिए हम अपने mysql query फंक्शन का इस्तेमाल करेंगे,hi,rvc,rvc_445718_00041.wav,4241
42,445718,876898,train,876898_RyQSvr4r4iAMTYXq_0001,${DATA_ROOT}/raw/mucs2021/train/RyQSvr4r4iAMTYXq.wav,7.0,14.0,7.0,इस tutorial में हम निम्न के बारे में सीखेंगे,hi,rvc,rvc_445718_00042.wav,4242
43,445718,893273,train,893273_8xh3ZKpPy5YhAnKX_0001,${DATA_ROOT}/raw/mucs2021/train/8xh3ZKpPy5YhAnKX.wav,5.0,8.0,3.0,इस ट्यूटोरियल में आप सीखेंगे:,hi,rvc,rvc_445718_00043.wav,4243
44,445718,903756,train,903756_K3X6AGezGWAoDe1q_0001,${DATA_ROOT}/raw/mucs2021/train/K3X6AGezGWAoDe1q.wav,6.0,10.0,4.0,इस tutorial में हम सीखेंगे कि,hi,rvc,rvc_445718_00044.wav,4244
45,445718,912184,train,912184_V11NDc0lxudGbWQU_0001,${DATA_ROOT}/raw/mucs2021/train/V11NDc0lxudGbWQU.wav,7.0,11.0,4.0,चलिए मैं आपको यहाँ इस पेज पर वापस ले चलता हूँ हम देख सकते हैं कि सब कुछ ठीक कार्य कर रहा है,hi,rvc,rvc_445718_00045.wav,4245
46,445718,975912,train,975912_1eNS3GaW1oHHurL4_0001,${DATA_ROOT}/raw/mucs2021/train/1eNS3GaW1oHHurL4.wav,11.0,18.0,7.0,हमने निर्धारित नहीं किया है कि यह इमेल किसके तरफ से है,hi,rvc,rvc_445718_00046.wav,4246
47,445718,987461,train,987461_LSRBJiHdUoHm4BTI_0001,${DATA_ROOT}/raw/mucs2021/train/LSRBJiHdUoHm4BTI.wav,9.0,13.0,4.0,हमें यहाँ हमारी डेटा वेल्यू मिली है,hi,rvc,rvc_445718_00047.wav,4247
48,445718,996368,train,996368_n4ACC4gnqW0IM1wW_0001,${DATA_ROOT}/raw/mucs2021/train/n4ACC4gnqW0IM1wW.wav,6.0,15.0,9.0,इस ट्यूटोरियल में हम सीखेंगे  koha में  marc फाइल इंपोर्ट करना और  opac में इम्पोर्टेड डेटा सर्च करना,hi,rvc,rvc_445718_00048.wav,4248
49,445718,106718,train,106718_vE1rhq3ojNKZvQNv_0002,${DATA_ROOT}/raw/mucs2021/train/vE1rhq3ojNKZvQNv.wav,13.0,17.0,4.0,बुनियादी आकार जैसेlines arrows और आयत,hi,rvc,rvc_445718_00049.wav,4249
50,445718,142970,train,142970_DP5j8CLDeL6HHHSX_0002,${DATA_ROOT}/raw/mucs2021/train/DP5j8CLDeL6HHHSX.wav,6.0,10.0,4.0,इनमें से अधिकांश बहुत उपयोगी और नियमित उपयोग में आने वाले एप्लीकेशन के लिए अनुकूल हैं,hi,rvc,rvc_445718_00050.wav,4250
51,445718,177570,train,177570_jSNK2zDaIvyZsMZp_0004,${DATA_ROOT}/raw/mucs2021/train/jSNK2zDaIvyZsMZp.wav,15.0,20.0,5.0,इस tutorial के अनुसरण के लिए आपको लिनक्स operating system के साथ परिचित होना चाहिए,hi,rvc,rvc_445718_00051.wav,4251
52,445718,186783,train,186783_LFpbaXkb8HuQ6DnF_0002,${DATA_ROOT}/raw/mucs2021/train/LFpbaXkb8HuQ6DnF.wav,9.0,15.0,6.0,इस ट्यूटोरियल में मैं समझाऊँगा कि लिबरऑफिस राइटर में डॉक्युमेंट का पीयर रिव्यू सहकर्मी समीक्षा कैसे किया जा सकता है,hi,rvc,rvc_445718_00052.wav,4252
53,445718,205240,train,205240_F4KjmwYhWvnpSE0m_0002,${DATA_ROOT}/raw/mucs2021/train/F4KjmwYhWvnpSE0m.wav,14.0,23.0,9.0,हम यहाँ पहले ही जुड़ चुके हैं तो फिर से जोड़ने की आवश्यकता नहीं है क्योंकि यह कमांड पहले ही फिर से जारी हो चुकी है,hi,rvc,rvc_445718_00053.wav,4253
54,445718,322882,train,322882_XTscbPr78nzuHhuu_0004,${DATA_ROOT}/raw/mucs2021/train/XTscbPr78nzuHhuu.wav,13.0,24.0,11.0,यहाँ हम अपने operating system के रूप में उबंटु लिनक्स 1004 का उपयोग कर रहे हैं और लिबर ऑफिस suite version 334,hi,rvc,rvc_445718_00054.wav,4254
55,445718,413057,train,413057_aKSsdMqkPfUWyYeS_0002,${DATA_ROOT}/raw/mucs2021/train/aKSsdMqkPfUWyYeS.wav,10.0,13.0,3.0,calc में अन्य शीट्स का उल्लेख कैसे करें,hi,rvc,rvc_445718_00055.wav,4255
56,445718,457295,train,457295_WgzliDtK6Htff0g2_0003,${DATA_ROOT}/raw/mucs2021/train/WgzliDtK6Htff0g2.wav,13.0,16.0,3.0,पेज numbers दिनांक और समय प्रविष्ट करें,hi,rvc,rvc_445718_00056.wav,4256
57,445718,539226,train,539226_vZGSoJPH1tbvsyCa_0002,${DATA_ROOT}/raw/mucs2021/train/vZGSoJPH1tbvsyCa.wav,14.0,24.0,10.0,पिछले भाग में आपने देखा था कि मैंने खुद को डेटाबेस में रजिस्टर कर लिया था सब कुछ ठीक सही किया था और मैं यहाँ लॉगिन स्क्रीन पर हूँ,hi,rvc,rvc_445718_00057.wav,4257
58,445718,539354,train,539354_C3MtnFEDrRkWHSvJ_0002,${DATA_ROOT}/raw/mucs2021/train/C3MtnFEDrRkWHSvJ.wav,16.0,24.0,8.0,इस tutorial को record करने के लिए मैं उपयोग कर रही हूँ उबंटु लिनक्स operating system 1604,hi,rvc,rvc_445718_00058.wav,4258
59,445718,541304,train,541304_cyhxRWI0LoKYZvcw_0002,${DATA_ROOT}/raw/mucs2021/train/cyhxRWI0LoKYZvcw.wav,9.0,12.0,3.0,यहाँ हम निम्न सीखेंगे,hi,rvc,rvc_445718_00059.wav,4259
60,445718,584991,train,584991_1ijxO93RTIJh2Rzv_0002,${DATA_ROOT}/raw/mucs2021/train/1ijxO93RTIJh2Rzv.wav,15.0,24.0,9.0,यहाँ हम उबंटू लिनक्स वर्जन 1004 और लिबर ऑफिस सूट वर्जन 334 का उपयोग कर रहे हैं,hi,rvc,rvc_445718_00060.wav,4260
61,445718,634568,train,634568_jCgweujQVV5haVF1_0003,${DATA_ROOT}/raw/mucs2021/train/jCgweujQVV5haVF1.wav,14.0,20.0,6.0,दर्शकों के लिए प्रत्येक slide पर अतिरिक्त सामग्री या रेफ्रेन्सेस के लिए,hi,rvc,rvc_445718_00061.wav,4261
62,445718,705494,train,705494_fZcxLszRnIHxmVQp_0002,${DATA_ROOT}/raw/mucs2021/train/fZcxLszRnIHxmVQp.wav,12.0,21.0,9.0,यहाँ हम उबंटू लिनक्स 1004 और लिबरऑफिस सूट वर्जन 334 का उपयोग कर रहे हैं,hi,rvc,rvc_445718_00062.wav,4262
63,445718,797767,train,797767_TRInoJRJxAX3qv5C_0002,${DATA_ROOT}/raw/mucs2021/train/TRInoJRJxAX3qv5C.wav,10.0,14.0,4.0,calc में अन्य शीट्स का उ ल्लेख कैसे करें,hi,rvc,rvc_445718_00063.wav,4263
64,445718,850754,train,850754_wOTMMvC3WQ5YQRAF_0003,${DATA_ROOT}/raw/mucs2021/train/wOTMMvC3WQ5YQRAF.wav,13.0,17.0,4.0,शीट्स को जोड़ना और डिलीट करना शीट्स को फिर से नाम देना,hi,rvc,rvc_445718_00064.wav,4264
65,445718,870582,train,870582_crdH0AI5aH25bEXe_0002,${DATA_ROOT}/raw/mucs2021/train/crdH0AI5aH25bEXe.wav,10.0,16.0,6.0,अब आप यहाँ देख सकते हैं कि हमारे पास हमारे रिकार्डसअभिलेख हैं,hi,rvc,rvc_445718_00065.wav,4265
66,445718,876898,train,876898_RyQSvr4r4iAMTYXq_0002,${DATA_ROOT}/raw/mucs2021/train/RyQSvr4r4iAMTYXq.wav,14.0,19.0,5.0,automatic wrapping का उपयोग करके text की विभिन्न lines को फॉर्मेट करना,hi,rvc,rvc_445718_00066.wav,4266
67,445718,893273,train,893273_8xh3ZKpPy5YhAnKX_0002,${DATA_ROOT}/raw/mucs2021/train/8xh3ZKpPy5YhAnKX.wav,8.0,12.0,4.0,वाक्यांशों को टाइप कैसे करें अपने शब्दों की सूची तैयार कैसे करें,hi,rvc,rvc_445718_00067.wav,4267
68,445718,903756,train,903756_K3X6AGezGWAoDe1q_0002,${DATA_ROOT}/raw/mucs2021/train/K3X6AGezGWAoDe1q.wav,10.0,13.0,3.0,कैसे sql view में queries लिखें,hi,rvc,rvc_445718_00068.wav,4268
69,445718,912184,train,912184_V11NDc0lxudGbWQU_0002,${DATA_ROOT}/raw/mucs2021/train/V11NDc0lxudGbWQU.wav,11.0,18.0,7.0,हमारा सारा डेटा यहाँ हमारे पास है,hi,rvc,rvc_445718_00069.wav,4269
70,445718,975912,train,975912_1eNS3GaW1oHHurL4_0002,${DATA_ROOT}/raw/mucs2021/train/1eNS3GaW1oHHurL4.wav,18.0,23.0,5.0,इमेल भेजने के लिए हमें यह करने की आवश्यकता है,hi,rvc,rvc_445718_00070.wav,4270
71,445718,987461,train,987461_LSRBJiHdUoHm4BTI_0002,${DATA_ROOT}/raw/mucs2021/train/LSRBJiHdUoHm4BTI.wav,13.0,18.0,5.0,कृपया याद रखें कि हमारे डेटाबेस के अंदर हमारे पासवर्डस एन्क्रिप्ट हैं,hi,rvc,rvc_445718_00071.wav,4271
72,445718,996368,train,996368_n4ACC4gnqW0IM1wW_0002,${DATA_ROOT}/raw/mucs2021/train/n4ACC4gnqW0IM1wW.wav,15.0,22.0,7.0,इस ट्यूटोरियल को रिकॉर्ड करने के लिए मैं उपयोग कर रही हूँ  ubuntu linux os 1604,hi,rvc,rvc_445718_00072.wav,4272
73,445718,106718,train,106718_vE1rhq3ojNKZvQNv_0003,${DATA_ROOT}/raw/mucs2021/train/vE1rhq3ojNKZvQNv.wav,17.0,22.0,5.0,बुनियादी geometric आकार symbols stars और banners,hi,rvc,rvc_445718_00073.wav,4273
74,445718,142970,train,142970_DP5j8CLDeL6HHHSX_0003,${DATA_ROOT}/raw/mucs2021/train/DP5j8CLDeL6HHHSX.wav,10.0,16.0,6.0,साथ ही जो विडियो मैं बनाऊँगा या जो बनाए हैं उन सभी के लिए निश्चित रूप से अनुकूल है,hi,rvc,rvc_445718_00074.wav,4274
75,445718,177570,train,177570_jSNK2zDaIvyZsMZp_0005,${DATA_ROOT}/raw/mucs2021/train/jSNK2zDaIvyZsMZp.wav,20.0,26.0,6.0,यदि नहीं तो सम्बंधित tutorials के लिए कृपया हमारी website पर जाएँ,hi,rvc,rvc_445718_00075.wav,4275
76,445718,186783,train,186783_LFpbaXkb8HuQ6DnF_0003,${DATA_ROOT}/raw/mucs2021/train/LFpbaXkb8HuQ6DnF.wav,15.0,18.0,3.0,हम एक मौजूद डॉक्युमेंट को खोलेंगे,hi,rvc,rvc_445718_00076.wav,4276
77,445718,205240,train,205240_F4KjmwYhWvnpSE0m_0003,${DATA_ROOT}/raw/mucs2021/train/F4KjmwYhWvnpSE0m.wav,23.0,30.0,7.0,मैं query change नामक एक नई क्वेरी बनाऊँगा और यह mysql query फंक्शन के बराबर होगी,hi,rvc,rvc_445718_00077.wav,4277
78,445718,322882,train,322882_XTscbPr78nzuHhuu_0005,${DATA_ROOT}/raw/mucs2021/train/XTscbPr78nzuHhuu.wav,24.0,31.0,7.0,अतः लिबर ऑफिस writer में विविध view options के बारे में सीख कर अपने tutorial की शुरूआत करते हैं,hi,rvc,rvc_445718_00078.wav,4278
79,445718,413057,train,413057_aKSsdMqkPfUWyYeS_0003,${DATA_ROOT}/raw/mucs2021/train/aKSsdMqkPfUWyYeS.wav,13.0,17.0,4.0,calc में hyperlinks का इस्तेमाल कैसे करें,hi,rvc,rvc_445718_00079.wav,4279
80,445718,457295,train,457295_WgzliDtK6Htff0g2_0007,${DATA_ROOT}/raw/mucs2021/train/WgzliDtK6Htff0g2.wav,22.0,33.0,11.0,यहाँ हम उबंटू लिनक्स वर्जन 1004 और लिबर ऑफिस सूट वर्जन 334 का उपयोग कर रहे हैं,hi,rvc,rvc_445718_00080.wav,4280
81,445718,539226,train,539226_vZGSoJPH1tbvsyCa_0003,${DATA_ROOT}/raw/mucs2021/train/vZGSoJPH1tbvsyCa.wav,24.0,33.0,9.0,देखते हैं यदि मैं लॉगिन कर सकता हूँ लिखते हैं username alex है और मेरा पासवर्ड वह पासवर्ड जो मैंने इस्तेमाल किया था,hi,rvc,rvc_445718_00081.wav,4281
82,445718,539354,train,539354_C3MtnFEDrRkWHSvJ_0003,${DATA_ROOT}/raw/mucs2021/train/C3MtnFEDrRkWHSvJ.wav,24.0,29.0,5.0,और koha version 1605,hi,rvc,rvc_445718_00082.wav,4282
83,445718,541304,train,541304_cyhxRWI0LoKYZvcw_0004,${DATA_ROOT}/raw/mucs2021/train/cyhxRWI0LoKYZvcw.wav,14.0,17.0,3.0,wizard का उपयोग करके form कैसे बनायें,hi,rvc,rvc_445718_00083.wav,4283
84,445718,584991,train,584991_1ijxO93RTIJh2Rzv_0003,${DATA_ROOT}/raw/mucs2021/train/1ijxO93RTIJh2Rzv.wav,24.0,32.0,8.0,background slide पर लागू किये गये सभी रंगों और प्रभावों को उद्घृत करता है जो विषयवस्तु के पीछे मौजूद हैं,hi,rvc,rvc_445718_00084.wav,4284
85,445718,634568,train,634568_jCgweujQVV5haVF1_0004,${DATA_ROOT}/raw/mucs2021/train/jCgweujQVV5haVF1.wav,20.0,27.0,7.0,उद्घोषक को reference notes के ज़रिये मदद करने के लिए जब वह दर्शक के सामने slides प्रस्तुत करे,hi,rvc,rvc_445718_00085.wav,4285
86,445718,705494,train,705494_fZcxLszRnIHxmVQp_0003,${DATA_ROOT}/raw/mucs2021/train/fZcxLszRnIHxmVQp.wav,21.0,26.0,5.0,पहले प्रस्तुति sampleimpress odp खोलें,hi,rvc,rvc_445718_00086.wav,4286
87,445718,797767,train,797767_TRInoJRJxAX3qv5C_0003,${DATA_ROOT}/raw/mucs2021/train/TRInoJRJxAX3qv5C.wav,14.0,18.0,4.0,calc में hyperlinks का इस्तेमाल कैसे करें,hi,rvc,rvc_445718_00087.wav,4287
88,445718,850754,train,850754_wOTMMvC3WQ5YQRAF_0004,${DATA_ROOT}/raw/mucs2021/train/wOTMMvC3WQ5YQRAF.wav,17.0,29.0,12.0,यहाँ हम अपने operating system के रूप में उबंटु लिनक्स version 1004 और libreoffice version 334 का उपयोग कर रहे हैं,hi,rvc,rvc_445718_00088.wav,4288
89,445718,870582,train,870582_crdH0AI5aH25bEXe_0003,${DATA_ROOT}/raw/mucs2021/train/crdH0AI5aH25bEXe.wav,16.0,21.0,5.0,मैं इस ट्यूटोरियल को फिर से कर रहा हूँ क्योंकि जब मैंने पहली बार किया था वह काम नही किया था,hi,rvc,rvc_445718_00089.wav,4289
90,445718,876898,train,876898_RyQSvr4r4iAMTYXq_0003,${DATA_ROOT}/raw/mucs2021/train/RyQSvr4r4iAMTYXq.wav,19.0,23.0,4.0,cells को मर्ज करना cells में fit करने के लिए text को कम करना,hi,rvc,rvc_445718_00090.wav,4290
91,445718,893273,train,893273_8xh3ZKpPy5YhAnKX_0003,${DATA_ROOT}/raw/mucs2021/train/8xh3ZKpPy5YhAnKX.wav,12.0,17.0,5.0,टाइपिंग के लिए भाषा की स्थापना के बारे में जानकारी पता कैसे करें,hi,rvc,rvc_445718_00091.wav,4291
