job_id,cell,speaker,pool,reference_wav,transcript,transcript_source,script_class,language,tool,output_path,seed
21,adaptation_hi,126393,adaptation,refs/126393.wav,ham functions maapdand jor sakte hain aur ise jis tarah bhee ham chaahen kram men lagaa sakte hain,हम functions मापदंड जोड़ सकते हैं और इसे जिस तरह भी हम चाहें क्रम में लगा सकते हैं,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_126393_00021.wav,7021
22,adaptation_hi,201350,adaptation,refs/201350.wav,kintu abhee ke lie names member names ko aarohee kram men lagaaenge,किन्तु अभी के लिए names member names को आरोही क्रम में लगाएँगे,mixed,hi,xtts_v2,outputs/xtts_v2_201350_00022.wav,7022
23,adaptation_hi,342352,adaptation,refs/342352.wav,iske lie sort row ke andar name column men sabse neeche bhaag ke khaalee cell par click karte hain,इसके लिए sort row के अंदर name column में सबसे नीचे भाग के खाली cell पर click करते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_342352_00023.wav,7023
24,adaptation_hi,350956,adaptation,refs/350956.wav,yahaan is view ke lie ek vivarnaatmak name type karte hain: view: members name only,यहाँ इस view के लिए एक विवरणात्मक name type करते हैं: view: members name only,mixed,hi,xtts_v2,outputs/xtts_v2_350956_00024.wav,7024
25,adaptation_hi,433148,adaptation,refs/433148.wav,antanirhit data dekhne ke lie sabse oopar edit menu par click karte hain,अंतनिर्हित data देखने के लिए सबसे ऊपर edit menu पर click करते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_433148_00025.wav,7025
26,adaptation_hi,491095,adaptation,refs/491095.wav,aur phir sabse neeche run query par click karte hain,और फिर सबसे नीचे run query पर click करते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_491095_00026.wav,7026
27,adaptation_hi,702146,adaptation,refs/702146.wav,aur oopar ham ek nayaa bhaag dekhte hain jo library ke sabhee sadasyon ko aaroheekram men soocheebaddh kartaa hai,और ऊपर हम एक नया भाग देखते हैं जो library के सभी सदस्यों को आरोहीक्रम में सूचीबद्ध करता है,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_702146_00027.wav,7027
28,adaptation_hi,707034,adaptation,refs/707034.wav,dhyaan deejiye ki ham koee phone numbers naheen dekh rahe hain,ध्यान दीजिये कि हम कोई phone numbers नहीं देख रहे हैं,mixed,hi,xtts_v2,outputs/xtts_v2_707034_00028.wav,7028
29,adaptation_hi,804882,adaptation,refs/804882.wav,ham apnee aavashyaktaaon ke anusaar views ko banaa aur usko roop we sakte hain,हम अपनी आवश्यकताओं के अनुसार views को बना और उसको रूप we सकते हैं,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_804882_00029.wav,7029
30,adaptation_hi,901681,adaptation,refs/901681.wav,agle vishay par jaane se pahle yahaan ek niyat kaary hai,अगले विषय पर जाने से पहले यहाँ एक नियत कार्य है,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_901681_00030.wav,7030
31,adaptation_hi,126393,adaptation,refs/126393.wav,sadasyon ko jaaree kee huee pustakon kaa ek view banaaie aur keval vah pustak joki checked in naheen hai,सदस्यों को जारी की हुई पुस्तकों का एक view बनाइए और केवल वह पुस्तक जोकि checked इन नहीं है,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_126393_00031.wav,7031
32,adaptation_hi,201350,adaptation,refs/201350.wav,view men nimn fields sammilit kariye: book titles member names issue date aur return date,view में निम्न fields सम्मिलित करिये: book titles member names issue date और return date,mixed,hi,xtts_v2,outputs/xtts_v2_201350_00032.wav,7032
33,adaptation_hi,342352,adaptation,refs/342352.wav,view ko name deejiye view: list of books not checked in,view को name दीजिये view: list of books not checked in,mostly_latin,hi,xtts_v2,outputs/xtts_v2_342352_00033.wav,7033
34,adaptation_hi,350956,adaptation,refs/350956.wav,theek hai copy tareeke kaa istemaal karke tables banaanaa seekhte hain,ठीक है copy तरीके का इस्तेमाल करके tables बनाना सीखते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_350956_00034.wav,7034
35,adaptation_hi,433148,adaptation,refs/433148.wav,yah tables banaane kaa ek saral tareekaa hai yadi hamen pataa hai ki table kee sanrachnaa kaaphee samaan hone jaa rahee hai,यह tables बनाने का एक सरल तरीका है यदि हमें पता है कि table की संरचना काफी समान होने जा रही है,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_433148_00035.wav,7035
36,adaptation_hi,491095,adaptation,refs/491095.wav,iske lie maante hain ki hamaaree library ke paas dvds aur cds hain,इसके लिए मानते हैं कि हमारी library के पास dvds और cds हैं,mixed,hi,xtts_v2,outputs/xtts_v2_491095_00036.wav,7036
37,adaptation_hi,702146,adaptation,refs/702146.wav,aur ham is data ko media naamak ek naee table men sanchay kar sakte hain,और हम इस data को media नामक एक नई table में संचय कर सकते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_702146_00037.wav,7037
38,adaptation_hi,707034,adaptation,refs/707034.wav,ek cd yaa ek dvd ke paas ek sheershak aur ek prakaashitvarsh ho saktaa hai udaaharnasvarup,एक cd या एक dvd के पास एक शीर्षक और एक प्रकाशितवर्ष हो सकता है उदाहरणस्वरुप,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_707034_00038.wav,7038
39,adaptation_hi,804882,adaptation,refs/804882.wav,ek audio audio aur ek video video men antar karne ke lie ham ek mediatype field prayukt karenge,एक audio audio और एक video video में अंतर करने के लिए हम एक mediatype field प्रयुक्त करेंगे,mixed,hi,xtts_v2,outputs/xtts_v2_804882_00039.wav,7039
40,adaptation_hi,901681,adaptation,refs/901681.wav,ab choonki books table ke paas kareebakreeb vahee fields hain ham books table ko copypaste kar sakte hain,अब चूँकि books table के पास करीबकरीब वही fields हैं हम books table को copypaste कर सकते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_901681_00040.wav,7040
41,adaptation_hi,126393,adaptation,refs/126393.wav,aur phir prakriyaa men ham fields aur table ko phir se name de sakte hain,और फिर प्रक्रिया में हम fields और table को फिर से name दे सकते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_126393_00041.wav,7041
42,adaptation_hi,201350,adaptation,refs/201350.wav,yahaan books table par daayaan click karte hain,यहाँ books table पर दायाँ click करते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_201350_00042.wav,7042
43,adaptation_hi,342352,adaptation,refs/342352.wav,aur ham copy vikalp dekhenge is par click karte hain;,और हम copy विकल्प देखेंगे इस पर click करते हैं;,mixed,hi,xtts_v2,outputs/xtts_v2_342352_00043.wav,7043
44,adaptation_hi,350956,adaptation,refs/350956.wav,aur phir is par daayaan click karte hain,और फिर इस पर दायाँ click करते हैं,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_350956_00044.wav,7044
45,adaptation_hi,433148,adaptation,refs/433148.wav,vibhinn vikalpon par yahaan dhyaan deejiye yahaan ek paste hai aur saath hee yahaan ek paste special bhee hai,विभिन्न विकल्पों पर यहाँ ध्यान दीजिये यहाँ एक paste है और साथ ही यहाँ एक paste special भी है,mixed,hi,xtts_v2,outputs/xtts_v2_433148_00045.wav,7045
46,adaptation_hi,491095,adaptation,refs/491095.wav,ham copy aur paste ko ek vishisht roop men istemaal kar sakte hain,हम copy और paste को एक विशिष्ट रूप में इस्तेमाल कर सकते हैं,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_491095_00046.wav,7046
47,adaptation_hi,702146,adaptation,refs/702146.wav,sambhav roop hain formatted text html yaa ek detaabes table,सम्भव रूप हैं formatted text html या एक डेटाबेस table,mixed,hi,xtts_v2,outputs/xtts_v2_702146_00047.wav,7047
48,adaptation_hi,707034,adaptation,refs/707034.wav,atah ham yahaan database table chun sakte hain,अतः हम यहाँ database table चुन सकते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_707034_00048.wav,7048
49,adaptation_hi,804882,adaptation,refs/804882.wav,yaa ham daayen click menu se paste chun sakte hain,या हम दायें click menu से paste चुन सकते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_804882_00049.wav,7049
50,adaptation_hi,901681,adaptation,refs/901681.wav,yah ek wizard kholtaa hai aur is window men,यह एक wizard खोलता है और इस window में,mixed,hi,xtts_v2,outputs/xtts_v2_901681_00050.wav,7050
51,adaptation_hi,126393,adaptation,refs/126393.wav,ham sabse pahle table name ke saamne media taaip karke apnee table ko phir se name denge,हम सबसे पहले table name के सामने media टाइप करके अपनी table को फिर से name देंगे,mixed,hi,xtts_v2,outputs/xtts_v2_126393_00051.wav,7051
52,adaptation_hi,201350,adaptation,refs/201350.wav,in vikalpon men ham definition aur data par click karenge,इन विकल्पों में हम definition और data पर click करेंगे,mixed,hi,xtts_v2,outputs/xtts_v2_201350_00052.wav,7052
53,adaptation_hi,342352,adaptation,refs/342352.wav,is namoone ke lie bookid title aur publishyear chunte hain,इस नमूने के लिए bookid title और publishyear चुनते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_342352_00053.wav,7053
54,adaptation_hi,350956,adaptation,refs/350956.wav,ab ham baayeen taraph kee in fields ko chunenge aur inko daayeen taraph khiskaane ke lie single arrow button kaa upyog karenge,अब हम बायीं तरफ की इन fields को चुनेंगे और इनको दायीं तरफ खिसकाने के लिए single arrow button का उपयोग करेंगे,mixed,hi,xtts_v2,outputs/xtts_v2_350956_00054.wav,7054
55,adaptation_hi,433148,adaptation,refs/433148.wav,aglee window men ham apne columns dekhte hain,अगली window में हम अपने columns देखते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_433148_00055.wav,7055
56,adaptation_hi,491095,adaptation,refs/491095.wav,yahaan fields ko phir se naam de sakte hain aur unke data types badal sakte hain,यहाँ fields को फिर से नाम दे सकते हैं और उनके data types बदल सकते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_491095_00056.wav,7056
57,adaptation_hi,702146,adaptation,refs/702146.wav,ham bookid kaa naam mediaid men badlenge,हम bookid का नाम mediaid में बदलेंगे,mixed,hi,xtts_v2,outputs/xtts_v2_702146_00057.wav,7057
58,adaptation_hi,707034,adaptation,refs/707034.wav,mukhy base window men yahaan ek naee media table hai,मुख्य base window में यहाँ एक नई media table है,mixed,hi,xtts_v2,outputs/xtts_v2_707034_00058.wav,7058
59,adaptation_hi,804882,adaptation,refs/804882.wav,add table ko badalkar usmen ek naee field mediatype jorte hain jo audio yaa video kee soochnaa rakhegaa,add table को बदलकर उसमें एक नई field mediatype जोड़ते हैं जो audio या video की सूचना रखेगा,mixed,hi,xtts_v2,outputs/xtts_v2_804882_00059.wav,7059
60,adaptation_hi,901681,adaptation,refs/901681.wav,yahaan antim column men mediatype daakhil karte hain,यहाँ अंतिम column में mediatype दाखिल करते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_901681_00060.wav,7060
61,adaptation_hi,126393,adaptation,refs/126393.wav,publishyear ke neeche cell par click karte hain,publishyear के नीचे cell पर click करते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_126393_00061.wav,7061
62,adaptation_hi,201350,adaptation,refs/201350.wav,aur field name ke roop men mediatype daakhil karte hain aur phir text yaa field type chunte hain,और field name के रूप में mediatype दाखिल करते हैं और फिर text या field type चुनते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_201350_00062.wav,7062
63,adaptation_hi,342352,adaptation,refs/342352.wav,ab table design ko sev karte hain aur hamne kar liyaa,अब table design को सेव करते हैं और हमने कर लिया,mixed,hi,xtts_v2,outputs/xtts_v2_342352_00063.wav,7063
64,adaptation_hi,350956,adaptation,refs/350956.wav,theek hai hamne abhee copy paddhati kaa istemaal karke apnaa media table banaayaa,ठीक है हमने अभी copy पद्धति का इस्तेमाल करके अपना media table बनाया,mixed,hi,xtts_v2,outputs/xtts_v2_350956_00064.wav,7064
65,adaptation_hi,433148,adaptation,refs/433148.wav,use wizard to create table paddhiti kaa istemaal karke ek table banaaie,use wizard to create table पद्धिति का इस्तेमाल करके एक table बनाइए,mixed,hi,xtts_v2,outputs/xtts_v2_433148_00065.wav,7065
66,adaptation_hi,491095,adaptation,refs/491095.wav,yahaan assets sample table istemaal kariye aur usko phir se naam deejiye assetscopy,यहाँ assets sample table इस्तेमाल करिये और उसको फिर से नाम दीजिये assetscopy,mixed,hi,xtts_v2,outputs/xtts_v2_491095_00066.wav,7066
67,adaptation_hi,702146,adaptation,refs/702146.wav,aur is paddhiti men vibhinn vikalpon kaa anveshan kariye,और इस पद्धिति में विभिन्न विकल्पों का अन्वेषण करिये,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_702146_00067.wav,7067
68,adaptation_hi,707034,adaptation,refs/707034.wav,isee ke saath ham libreoffice base par tables banaane ke is tutorial kee samaapti kee or aa gaye hain,इसी के साथ हम libreoffice base पर tables बनाने के इस tutorial की समाप्ति की ओर आ गये हैं,mixed,hi,xtts_v2,outputs/xtts_v2_707034_00068.wav,7068
69,adaptation_hi,804882,adaptation,refs/804882.wav,aaee aaee tee bombe kee or se main ravi kumaar ab aapse vidaa letaa hoon hamse jurne ke lie dhanyavaad,आई आई टी बॉम्बे की ओर से मैं रवि कुमार अब आपसे विदा लेता हूँ हमसे जुड़ने के लिए धन्यवाद,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_804882_00069.wav,7069
70,adaptation_hi,901681,adaptation,refs/901681.wav,yah tutorial database dijaain par pichhle tutorial ke aage kaa bhaag hai,यह tutorial database डिजाइन पर पिछले tutorial के आगे का भाग है,mixed,hi,xtts_v2,outputs/xtts_v2_901681_00070.wav,7070
71,adaptation_hi,126393,adaptation,refs/126393.wav,aur yahaan ham nimn vishyon ko seekhenge:,और यहाँ हम निम्न विषयों को सीखेंगे:,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_126393_00071.wav,7071
72,adaptation_hi,201350,adaptation,refs/201350.wav,pichhle tutorial men hamne ek saral library application ke lie database dijaain kee prakriyaa ko shuroo kiyaa thaa,पिछले tutorial में हमने एक सरल library application के लिए database डिजाइन की प्रक्रिया को शुरू किया था,mixed,hi,xtts_v2,outputs/xtts_v2_201350_00072.wav,7072
73,adaptation_hi,342352,adaptation,refs/342352.wav,hamne pahle library database ko banaane ke uddeshy kaa pataa lagaayaa thaa,हमने पहले library database को बनाने के उद्देश्य का पता लगाया था,mixed,hi,xtts_v2,outputs/xtts_v2_342352_00073.wav,7073
74,adaptation_hi,350956,adaptation,refs/350956.wav,phir hamne library ke baare men soochnaa khoj kar aur suvyavasthit karke apnee prakriyaa ko jaaree rakhaa,फिर हमने library के बारे में सूचना खोज कर और सुव्यवस्थित करके अपनी प्रक्रिया को जारी रखा,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_350956_00074.wav,7074
75,adaptation_hi,433148,adaptation,refs/433148.wav,aur hamne soochnaa ko tables men baantaa,और हमने सूचना को tables में बाँटा,mixed,hi,xtts_v2,outputs/xtts_v2_433148_00075.wav,7075
76,adaptation_hi,491095,adaptation,refs/491095.wav,aur is tarah hamne apnee library database men chaar tables nirdhaarit kiye the: books authors publications aur members,और इस तरह हमने अपनी library database में चार tables निर्धारित किये थे: books authors publications और members,mixed,hi,xtts_v2,outputs/xtts_v2_491095_00076.wav,7076
77,adaptation_hi,702146,adaptation,refs/702146.wav,ab agle step par chalte hain jo hai soochnaa items ko columns men badalnaa,अब अगले step पर चलते हैं जो है सूचना items को columns में बदलना,mixed,hi,xtts_v2,outputs/xtts_v2_702146_00077.wav,7077
78,adaptation_hi,707034,adaptation,refs/707034.wav,yahaan ham tay karenge ki kis soochnaa item ko ham pratyek table men sanchit karnaa chaahte hain,यहाँ हम तय करेंगे कि किस सूचना item को हम प्रत्येक table में संचित करना चाहते हैं,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_707034_00078.wav,7078
79,adaptation_hi,804882,adaptation,refs/804882.wav,pratyek soochnaa item jise hamne pahle nirdhaarit kiyaa thaa ek field ban gayee hai aur table men ek column ke roop men pradarshit hai,प्रत्येक सूचना item जिसे हमने पहले निर्धारित किया था एक field बन गयी है और table में एक column के रूप में प्रदर्शित है,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_804882_00079.wav,7079
80,adaptation_hi,901681,adaptation,refs/901681.wav,atah yahaan pratyek row yaa record apne columns men vaastav men ek pustak ke baare men soochnaa rakhte hain,अतः यहाँ प्रत्येक row या record अपने columns में वास्तव में एक पुस्तक के बारे में सूचना रखते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_901681_00080.wav,7080
81,adaptation_hi,126393,adaptation,refs/126393.wav,usee prakaar se authors table men pratyek record keval ek rachyitaa kee soochnaa rakhtaa hai,उसी प्रकार से authors table में प्रत्येक record केवल एक रचयिता की सूचना रखता है,mixed,hi,xtts_v2,outputs/xtts_v2_126393_00081.wav,7081
82,adaptation_hi,201350,adaptation,refs/201350.wav,aur publishers table men pratyek record keval ek prakaashak kee soochnaa rakhtaa hai,और publishers table में प्रत्येक record केवल एक प्रकाशक की सूचना रखता है,mixed,hi,xtts_v2,outputs/xtts_v2_201350_00082.wav,7082
83,adaptation_hi,342352,adaptation,refs/342352.wav,ab aage ham columns ko apnee zaroorton ke anusaar sudhaar sakte hain,अब आगे हम columns को अपनी ज़रूरतों के अनुसार सुधार सकते हैं,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_342352_00083.wav,7083
84,adaptation_hi,350956,adaptation,refs/350956.wav,udaaharnasvarup ham author name ko first name aur last name men alag kar sakte hain jisse ki ham in columns ke jariye khoj yaa krambaddh kar saken,उदाहरणस्वरुप हम author name को first name और last name में अलग कर सकते हैं जिससे कि हम इन columns के जरिये खोज या क्रमबद्ध कर सकें,mixed,hi,xtts_v2,outputs/xtts_v2_350956_00084.wav,7084
85,adaptation_hi,433148,adaptation,refs/433148.wav,aur hamen gannaaon ke parinaam tables men alag columns men rakhne kee aavashyaktaa naheen hai,और हमें गणनाओं के परिणाम tables में अलग columns में रखने की आवश्यकता नहीं है,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_433148_00085.wav,7085
86,adaptation_hi,491095,adaptation,refs/491095.wav,kyonki jab ham parinaamon ko dekhnaa chaahte hain base tab gannaa kar saktaa hai,क्योंकि जब हम परिणामों को देखना चाहते हैं base तब गणना कर सकता है,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_491095_00086.wav,7086
87,adaptation_hi,702146,adaptation,refs/702146.wav,ab hamen tables aur columns ke baare men spasht hai aage dekhte hain ki kaise ham primary keez ullikhit kar sakte hain,अब हमें tables और columns के बारे में स्पष्ट है आगे देखते हैं कि कैसे हम primary कीज़ उल्लिखित कर सकते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_702146_00087.wav,7087
88,adaptation_hi,707034,adaptation,refs/707034.wav,pratyek table ek column yaa columns ke samooh ko sammilit karnaa chaahiye jo vishisht row se table men sanchit pratyek row ko batlaatee hai,प्रत्येक table एक column या columns के समूह को सम्मिलित करना चाहिये जो विशिष्ट row से table में संचित प्रत्येक row को बतलाती है,mixed,hi,xtts_v2,outputs/xtts_v2_707034_00088.wav,7088
89,adaptation_hi,804882,adaptation,refs/804882.wav,yah column yaa columns ke samooh ko table kee primary kee hai,यह column या columns के समूह को table की primary की है,mixed,hi,xtts_v2,outputs/xtts_v2_804882_00089.wav,7089
90,adaptation_hi,901681,adaptation,refs/901681.wav,yah praayah ek vishisht pahchaan sankhyaa hotee hai jaise book id yaa ek author id,यह प्रायः एक विशिष्ट पहचान संख्या होती है जैसे book id या एक author id,mixed,hi,xtts_v2,outputs/xtts_v2_901681_00090.wav,7090
91,adaptation_hi,126393,adaptation,refs/126393.wav,aur primary kee men hamaare paas samroopee values naheen ho saktee,और primary की में हमारे पास समरूपी values नहीं हो सकती,mixed,hi,xtts_v2,outputs/xtts_v2_126393_00091.wav,7091
92,adaptation_hi,201350,adaptation,refs/201350.wav,udaaharnasvarup names logon ke naamon ko primary kee kee tarah istemaal naheen kar sakte kyonki names unique adviteey naheen hote hain,उदाहरणस्वरुप names लोगों के नामों को primary की की तरह इस्तेमाल नहीं कर सकते क्योंकि names unique अद्वितीय नहीं होते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_201350_00092.wav,7092
93,adaptation_hi,342352,adaptation,refs/342352.wav,yahaan ek hee table men ek hee name ke do log ho sakte hain,यहाँ एक ही table में एक ही name के दो लोग हो सकते हैं,mixed,hi,xtts_v2,outputs/xtts_v2_342352_00093.wav,7093
94,adaptation_hi,350956,adaptation,refs/350956.wav,aage primary kee men hameshaa ek value honee chaahie,आगे primary की में हमेशा एक value होनी चाहिए,mixed,hi,xtts_v2,outputs/xtts_v2_350956_00094.wav,7094
95,adaptation_hi,433148,adaptation,refs/433148.wav,yadi yah khaalee yaa nirarthak hai to ham ise primary kee naheen maan sakte hain,यदि यह खाली या निरर्थक है तो हम इसे primary की नहीं मान सकते हैं,mostly_devanagari,hi,xtts_v2,outputs/xtts_v2_433148_00095.wav,7095
96,adaptation_hi,491095,adaptation,refs/491095.wav,jaisaa ki screen par chitr men darshaayaa gayaa hai ham apne tables ke primary keez nimn prakaar se nirdhaarit kar sakte hain:,जैसा कि screen पर चित्र में दर्शाया गया है हम अपने tables के primary कीज़ निम्न प्रकार से निर्धारित कर सकते हैं:,mixed,hi,xtts_v2,outputs/xtts_v2_491095_00096.wav,7096
97,adaptation_hi,702146,adaptation,refs/702146.wav,usee prakaar se bhale hee yahaan darshaayaa naheen gayaa hai members table ke lie membersid primary kee hogee,उसी प्रकार से भले ही यहाँ दर्शाया नहीं गया है members table के लिए membersid primary की होगी,mixed,hi,xtts_v2,outputs/xtts_v2_702146_00097.wav,7097
98,adaptation_hi,707034,adaptation,refs/707034.wav,antatah tables men primary keez nirdhaarit karke ham entity integrity laagoo kar rahe hain,अंततः tables में primary कीज़ निर्धारित करके हम entity integrity लागू कर रहे हैं,mixed,hi,xtts_v2,outputs/xtts_v2_707034_00098.wav,7098
99,adaptation_hi,804882,adaptation,refs/804882.wav,entity integrity sunishchit kartaa hai ki yahaan table men samroopee records naheen hain,entity integrity सुनिश्चित करता है कि यहाँ table में समरूपी records नहीं हैं,mixed,hi,xtts_v2,outputs/xtts_v2_804882_00099.wav,7099
100,adaptation_hi,901681,adaptation,refs/901681.wav,yah yah bhee sunishchit kartaa hai ki field jo table men pratyek record ko pahchaantee hai vah unique hain aur kabhee nishprabhaav naheen hote,यह यह भी सुनिश्चित करता है कि field जो table में प्रत्येक record को पहचानती है वह unique हैं और कभी निष्प्रभाव नहीं होते,mixed,hi,xtts_v2,outputs/xtts_v2_901681_00100.wav,7100
