speaker,source,n_clips,total_seconds,median_snr_db,eligible
954992,mucs2021,128,577.03,75.24549035477224,True
396164,mucs2021,149,799.02,75.2018442489175,True
670130,mucs2021,91,755.25,75.18916270220001,True
345601,mucs2021,94,514.05,75.15378307136801,True
494039,mucs2021,74,592.01,75.09120797821294,True
353395,mucs2021,82,454.0,75.0799241539476,True
750891,mucs2021,80,961.03,75.07016011621747,True
301375,mucs2021,75,692.03,75.0236127260262,True
812522,mucs2021,75,551.42,75.01308224139787,True
768596,mucs2021,69,461.0,74.89120880639324,True
850333,mucs2021,124,696.11,74.76677855628554,True
477597,mucs2021,60,284.0,74.74036052379016,True
577852,mucs2021,116,532.74,74.69796220267796,True
636438,mucs2021,126,598.0,74.62209813236046,True
581856,mucs2021,121,772.0,74.61864461325922,True
246662,mucs2021,102,532.09,74.56682674975893,True
229024,mucs2021,86,434.31,74.55277394646512,True
772743,mucs2021,116,584.0,74.47706589299983,True
642757,mucs2021,88,626.0,74.47135578349047,True
533956,mucs2021,99,514.12,74.45774595694411,True
180127,mucs2021,56,472.0,74.40442649972758,True
979325,mucs2021,66,468.14,74.31422254055533,True
682118,mucs2021,129,675.69,74.31391778989503,True
843836,mucs2021,80,499.51,74.30671378498175,True
955357,mucs2021,88,570.5,74.28976094669973,True
186802,mucs2021,88,492.02,74.25173118274195,True
845204,mucs2021,71,445.07,74.24349684641138,True
147963,mucs2021,41,392.05,74.15018819929772,True
741251,mucs2021,84,445.0,74.13902770576775,True
110187,mucs2021,127,821.07,74.13045485610914,True
286909,mucs2021,88,862.04,74.12084695442563,True
665934,mucs2021,104,725.06,74.11372370324823,True
559236,mucs2021,130,647.04,74.0793644982372,True
891902,mucs2021,131,801.08,74.0785584170953,True
647192,mucs2021,88,606.06,74.07127383709415,True
982388,mucs2021,82,627.6,73.96117607713987,True
539098,mucs2021,130,675.76,73.95361559123114,True
875401,mucs2021,107,679.67,73.93265382074935,True
627241,mucs2021,153,816.65,73.8322936552315,True
723701,mucs2021,95,615.0,73.7883485822727,True
790133,mucs2021,92,482.06,73.69006004642777,True
382422,mucs2021,85,450.0,73.67699411051493,True
156870,mucs2021,71,435.03,73.63010373825094,True
516832,mucs2021,115,562.05,73.61528683050747,True
353135,mucs2021,73,389.04,73.38435014106042,True
854119,mucs2021,88,502.73,73.26398920056987,True
245690,mucs2021,85,657.05,73.10429041195066,True
278732,mucs2021,182,2124.07,73.03352805689534,True
506059,mucs2021,165,1080.04,73.03198428820424,True
797294,mucs2021,83,724.82,72.73965578426733,True
939326,mucs2021,109,603.58,72.7186958870326,True
355302,mucs2021,97,688.96,72.71412446987047,True
156792,mucs2021,90,741.92,72.63480105192927,True
556303,mucs2021,63,291.06,72.62637666097929,True
805490,mucs2021,90,810.0,72.53872345874892,True
425706,mucs2021,49,267.8,72.50654230132226,True
244699,mucs2021,84,493.06,72.49571582478318,True
673704,mucs2021,84,705.09,72.43897534614393,True
434636,mucs2021,72,490.25,72.40152069488383,True
937956,mucs2021,138,759.02,72.220243968654,True
818899,mucs2021,106,883.06,72.14641019861581,True
116077,mucs2021,118,542.04,72.13942255400963,True
747425,mucs2021,145,786.69,72.12574187096254,True
966975,mucs2021,80,491.04,72.0661940167079,True
565676,mucs2021,112,650.0,72.0261745390628,True
576814,mucs2021,125,687.07,71.98209843589223,True
142451,mucs2021,107,842.0,71.97692910752664,True
700300,mucs2021,147,678.03,71.94749578817292,True
349227,mucs2021,94,404.06,71.94673441556029,True
616477,mucs2021,128,675.04,71.76844613203936,True
175138,mucs2021,136,576.09,71.66890268747444,True
521613,mucs2021,101,618.0,71.59572185461337,True
938272,mucs2021,77,525.03,71.58092803453742,True
653388,mucs2021,95,794.0,71.57878803211807,True
936186,mucs2021,117,818.07,71.53910131131822,True
911395,mucs2021,72,446.09,71.51024857904413,True
499411,mucs2021,103,487.06,71.38560716155894,True
531012,mucs2021,128,774.77,71.38375831143085,True
491848,mucs2021,77,488.02,71.26233036169802,True
320718,mucs2021,111,912.62,71.21710050032942,True
295460,mucs2021,78,399.35,71.11257224375899,True
476106,mucs2021,91,679.02,71.10949242934174,True
413606,mucs2021,104,633.5,71.09837840209649,True
176388,mucs2021,91,531.0,70.92442386694403,True
779395,mucs2021,86,470.92,70.87677015100505,True
882673,mucs2021,51,499.01,70.84552401132277,True
972262,mucs2021,95,643.06,70.78053034178164,True
731149,mucs2021,89,500.0,70.73179367316617,True
456018,mucs2021,114,637.47,70.5809399382188,True
726751,mucs2021,107,668.21,70.52449553322154,True
112497,mucs2021,85,757.0,70.3372098673766,True
420389,mucs2021,120,534.06,70.25099667321328,True
858278,mucs2021,112,1027.04,70.19393232673998,True
663719,mucs2021,51,346.02,70.1201951226167,True
262104,mucs2021,49,375.42,70.05560633793255,True
134136,mucs2021,73,342.0,70.05335076277363,True
367317,mucs2021,91,629.06,70.00968853445183,True
598568,mucs2021,46,316.99,69.65203805341999,True
323270,mucs2021,116,706.06,69.62202734901817,True
424590,mucs2021,52,488.02,69.47417489442026,True
399287,mucs2021,101,632.04,69.42475606509294,True
468877,mucs2021,105,606.02,69.36732475138211,True
180696,mucs2021,104,546.08,69.30781758509983,True
303890,mucs2021,59,421.04,69.28661120273017,True
285776,mucs2021,83,500.04,69.28139833737532,True
441266,mucs2021,80,660.0,69.22058607638805,True
243106,mucs2021,41,390.08,69.03328272808315,True
553382,mucs2021,92,629.47,68.97779815707594,True
227530,mucs2021,32,173.0,68.92666484723085,True
336458,mucs2021,126,763.53,68.9144540642017,True
747748,mucs2021,90,576.99,68.76598474120485,True
113086,mucs2021,108,723.07,68.76168992608811,True
690231,mucs2021,133,652.04,68.72772099744618,True
766594,mucs2021,64,585.06,68.72539579567768,True
124018,mucs2021,84,667.43,68.6442722094687,True
929718,mucs2021,87,534.01,68.60214962545709,True
651913,mucs2021,92,541.06,68.59920750887697,True
419198,mucs2021,76,495.04,68.55849108545883,True
848232,mucs2021,65,424.01,68.53530947425101,True
520083,mucs2021,113,1091.01,68.3562060171309,True
661206,mucs2021,59,349.81,68.21866536032309,True
877302,mucs2021,98,999.03,68.02030699534892,True
332791,mucs2021,57,466.1,68.00658092780108,True
739673,mucs2021,70,312.07,67.83858936765506,True
463906,mucs2021,68,374.0,67.6931443640369,True
740491,mucs2021,103,728.96,67.51663103069458,True
486594,mucs2021,119,516.0,67.39579607188433,True
491993,mucs2021,97,606.0,67.30853119364166,True
450118,mucs2021,117,651.06,67.2604968997051,True
819283,mucs2021,51,559.09,67.20696162035426,True
445542,mucs2021,30,221.02,67.17925262270543,True
418386,mucs2021,70,489.5,66.95971324946642,True
102503,mucs2021,99,588.1,66.9442255830388,True
641561,mucs2021,130,877.07,66.72555866894541,True
530237,mucs2021,91,718.0,66.61886080442935,True
321235,mucs2021,144,777.38,66.54643599665368,True
208711,mucs2021,65,328.07,66.53424534895194,True
118960,mucs2021,102,488.07,66.43578833627672,True
366844,mucs2021,115,739.06,66.34754166722833,True
809732,mucs2021,117,765.04,66.01325609899943,True
571913,mucs2021,107,814.09,65.88096195684544,True
129615,mucs2021,51,305.0,65.86682550852117,True
359899,mucs2021,93,589.58,65.84993309127134,True
223874,mucs2021,83,496.01,65.59536057146573,True
208960,mucs2021,120,761.07,65.58888666112696,True
892206,mucs2021,88,773.03,65.57440169217548,True
472349,mucs2021,81,620.65,65.41266855202423,True
343487,mucs2021,95,710.06,65.21820410244328,True
233807,mucs2021,59,277.08,65.10064763121315,True
296876,mucs2021,106,671.0,65.09551386351029,True
461782,mucs2021,95,606.02,65.06614395528769,True
407477,mucs2021,65,471.93,64.91950248053456,True
483445,mucs2021,104,548.52,64.71551711661382,True
154712,mucs2021,125,795.02,64.4890670511848,True
681725,mucs2021,96,522.5,64.22676362371806,True
522462,mucs2021,71,646.95,64.096639156497,True
800585,mucs2021,52,348.53,63.84517453636205,True
196970,mucs2021,43,289.0,63.567594540212674,True
472901,mucs2021,61,448.1,63.31081552568143,True
136706,mucs2021,101,574.2,63.131030191296375,True
390559,mucs2021,121,541.8,63.09738499778277,True
158925,mucs2021,114,681.04,62.94548494424399,True
974581,mucs2021,158,1046.04,62.77646974440343,True
664387,mucs2021,107,687.3,62.74046654919387,True
970683,mucs2021,75,457.0,62.71323987385087,True
394720,mucs2021,103,592.06,62.55077222275787,True
943652,mucs2021,53,384.38,62.545727878461776,True
669821,mucs2021,41,361.58,62.3635901306901,True
682098,mucs2021,78,570.0,62.224042419818865,True
917397,mucs2021,69,347.04,62.176533234072096,True
691590,mucs2021,98,598.0,62.13116194924353,True
407471,mucs2021,103,606.02,61.995569330623546,True
551914,mucs2021,61,501.8,61.966441332485985,True
396461,mucs2021,93,541.03,61.87013359236044,True
952616,mucs2021,67,494.21,61.822642383120545,True
962959,mucs2021,90,499.86,61.69993509727205,True
591683,mucs2021,108,556.0,61.69754421231732,True
199964,mucs2021,108,690.23,61.553721698856414,True
265143,mucs2021,81,509.73,61.504478051756536,True
384885,mucs2021,124,662.57,61.45684073513561,True
834447,mucs2021,102,632.04,61.297317397973885,True
805009,mucs2021,83,488.21,61.269072426237926,True
160830,mucs2021,85,649.21,61.26211171292104,True
614575,mucs2021,70,602.56,61.26202107040528,True
262158,mucs2021,143,1355.52,61.16660896082422,True
809494,mucs2021,33,300.0,60.990133780651135,True
709615,mucs2021,132,927.02,60.795438955741545,True
527131,mucs2021,56,394.33,60.72864078833574,True
886726,mucs2021,52,416.0,60.36640517133019,True
189132,mucs2021,66,466.0,60.30159113068272,True
977448,mucs2021,130,675.0,59.83913284923801,True
599762,mucs2021,36,417.33,59.61433417411834,True
920338,mucs2021,80,439.97,59.471017919463556,True
607455,mucs2021,108,583.0,59.458936991674484,True
271324,mucs2021,107,662.98,59.23555149750983,True
169999,mucs2021,97,657.2,59.18447118966472,True
793133,mucs2021,105,696.08,59.13036940122723,True
106884,mucs2021,112,685.84,59.094836546914024,True
494949,mucs2021,121,682.4,59.072120392475234,True
479665,mucs2021,78,478.0,59.01622361841643,True
597487,mucs2021,90,602.09,58.968550298204626,True
277791,mucs2021,65,529.78,58.96750945484978,True
493962,mucs2021,46,281.54,58.960818083299614,True
667354,mucs2021,124,919.0,58.76931693482178,True
502032,mucs2021,104,503.68,58.731299967625404,True
387960,mucs2021,107,663.5,58.34275355728872,True
215571,mucs2021,46,355.55,58.062311645056184,True
827265,mucs2021,69,460.88,57.6695146914647,True
716782,mucs2021,83,348.02,57.57215620920101,True
681564,mucs2021,65,456.0,57.541910594645344,True
991629,mucs2021,93,471.0,57.42246273946547,True
389564,mucs2021,64,414.05,57.24288269513012,True
304558,mucs2021,99,747.0,57.17427031114718,True
976495,mucs2021,75,409.0,57.00317777236924,True
292906,mucs2021,30,191.75,56.75984734137581,True
669313,mucs2021,69,467.53,56.718476572897615,True
398187,mucs2021,74,671.13,56.08283103137181,True
535652,mucs2021,122,717.56,56.06979024937108,True
366578,mucs2021,40,261.53,55.856811529746885,True
320706,mucs2021,125,848.0,55.65542887426472,True
402585,mucs2021,100,602.01,55.64798316394501,True
652664,mucs2021,80,643.08,55.48352111242917,True
127984,mucs2021,48,348.62,55.340486123490045,True
427411,mucs2021,73,384.05,55.31143940027101,True
349192,mucs2021,145,807.07,55.27797082483601,True
221831,mucs2021,69,417.6,55.18543257609814,True
452035,mucs2021,32,212.27,55.10009095308051,True
900301,mucs2021,83,346.0,55.09938987443968,True
686591,mucs2021,119,738.08,55.00778721486808,True
205934,mucs2021,128,855.5,54.81366536154657,True
356615,mucs2021,105,646.06,54.709258521032254,True
455025,mucs2021,45,446.53,54.68545378591537,True
312418,mucs2021,74,401.0,54.67995621514681,True
714011,mucs2021,77,443.0,54.646413014456286,True
713238,mucs2021,35,338.96,54.410147450749506,True
384371,mucs2021,93,531.03,54.26965341029958,True
898307,mucs2021,188,1696.04,54.04955676786093,True
727902,mucs2021,119,753.04,53.952325045394474,True
357981,mucs2021,84,558.94,53.761945477998985,True
332665,mucs2021,112,883.5,53.601154888242874,True
432058,mucs2021,128,570.03,53.50668607149989,True
960679,mucs2021,103,1024.04,53.47669889815994,True
163584,mucs2021,62,400.71,53.43012880419464,True
164173,mucs2021,107,622.5,53.429712435751085,True
901907,mucs2021,116,635.0,53.38952961522279,True
533769,mucs2021,112,692.5,53.18456126366573,True
837603,mucs2021,109,507.0,53.05478196690942,True
725899,mucs2021,107,655.03,52.864512325584144,True
610265,mucs2021,112,909.5,52.80221263566057,True
987986,mucs2021,106,733.07,52.75672349403406,True
370508,mucs2021,83,488.0,52.356984963737744,True
811160,mucs2021,66,377.21,52.03800660299079,True
317381,mucs2021,133,724.87,51.876782042547035,True
309541,mucs2021,70,464.59,51.775178575007544,True
255117,mucs2021,164,922.01,51.709669571118404,True
682516,mucs2021,82,842.06,51.51847453772708,True
275434,mucs2021,67,439.03,51.22892811046474,True
590304,mucs2021,98,466.1,51.067780883716964,True
177090,mucs2021,128,856.27,50.99731387913465,True
663038,mucs2021,134,743.01,50.977585845919535,True
769934,mucs2021,74,366.0,50.8240073451594,True
673373,mucs2021,104,530.03,50.710095752187755,True
525659,mucs2021,137,717.43,50.64870589105645,True
194666,mucs2021,60,395.95,50.5219144885226,True
237478,mucs2021,55,286.99,50.50966820666319,True
781310,mucs2021,34,310.03,50.49305078345793,True
548661,mucs2021,98,524.03,50.466808562957816,True
205273,mucs2021,89,526.92,50.269860126065865,True
427132,mucs2021,159,812.04,50.08945374006613,True
561775,mucs2021,83,432.12,50.033802023637016,True
278951,mucs2021,82,445.0,49.77646663892571,True
927363,mucs2021,69,488.05,49.76606276066351,True
719994,mucs2021,92,547.0,49.62230385330132,True
550273,mucs2021,37,203.37,49.38832700552344,True
254595,mucs2021,145,666.05,49.02814922312099,True
427507,mucs2021,36,253.01,48.78792022988086,True
567146,mucs2021,121,657.0,48.62440180551066,True
384379,mucs2021,62,423.18,48.416189124611165,True
993563,mucs2021,120,747.2,48.268517678255115,True
733165,mucs2021,63,349.16,48.2156960581599,True
224033,mucs2021,97,694.11,47.996742825418764,True
887038,mucs2021,77,477.04,47.88142914533262,True
442328,mucs2021,98,719.0,47.6333875374636,True
290683,mucs2021,87,674.25,47.294635014762164,True
292072,mucs2021,90,639.05,47.16112442180376,True
303340,mucs2021,91,740.05,47.036147453717064,True
583562,mucs2021,44,263.96,46.81186030403936,True
256325,mucs2021,84,792.84,46.668509914363085,True
969465,mucs2021,133,769.0,46.57066924310371,True
275027,mucs2021,106,548.89,46.47684117433877,True
423431,mucs2021,125,574.01,46.3564012245304,True
126437,mucs2021,87,562.06,45.89286847638925,True
678454,mucs2021,87,674.95,45.64220884942993,True
480923,mucs2021,50,226.04,45.31185763093003,True
807521,mucs2021,76,633.02,45.27203002411977,True
778313,mucs2021,108,725.92,45.15788077856328,True
654444,mucs2021,64,601.07,44.98448438983958,True
419175,mucs2021,112,645.11,44.894156557564344,True
980386,mucs2021,58,409.05,44.49181413654705,True
801050,mucs2021,134,747.03,44.269580009210145,True
578436,mucs2021,54,316.02,43.94169971149024,True
962343,mucs2021,132,701.07,43.672076302179704,True
407122,mucs2021,77,471.05,43.50902495618309,True
598027,mucs2021,47,519.04,43.47708532724211,True
951799,mucs2021,133,1510.0,43.35507483987032,True
219922,mucs2021,97,535.12,43.21335821940712,True
366535,mucs2021,101,484.08,42.972667037244996,True
148454,mucs2021,112,877.12,42.95257441170297,True
439704,mucs2021,109,689.0,42.81440834980012,True
623497,mucs2021,133,769.0,42.74582312322027,True
337436,mucs2021,70,381.0,42.707243482794546,True
424296,mucs2021,136,969.2,42.44177770084806,True
826202,mucs2021,112,669.0,42.39942811721455,True
199756,mucs2021,85,644.02,42.32564559882037,True
127461,mucs2021,73,500.05,42.02706938033244,True
955636,mucs2021,128,557.08,41.98895039312397,True
284288,mucs2021,70,491.64,41.981277650651066,True
570275,mucs2021,109,627.05,41.89003490307218,True
868590,mucs2021,90,424.74,41.78309522727295,True
121257,mucs2021,56,446.1,41.67196383719538,True
994274,mucs2021,101,723.81,41.59191481640151,True
559303,mucs2021,88,773.99,41.46323841979661,True
990977,mucs2021,60,441.75,41.03248468186267,True
658158,mucs2021,81,500.04,40.9690918029963,True
160573,mucs2021,70,300.08,40.75239495177843,True
898255,mucs2021,57,466.04,40.61877359771464,True
463627,mucs2021,71,511.0,40.607094440554505,True
894520,mucs2021,68,505.02,40.53179263497623,True
224788,mucs2021,102,715.0,40.30857007364007,True
765783,mucs2021,85,564.67,40.30072868212335,True
299590,mucs2021,88,610.02,40.18427608275593,True
557816,mucs2021,68,358.04,40.177295490558635,True
694759,mucs2021,58,395.0,39.87838569398288,True
480565,mucs2021,49,302.02,39.72183291332995,True
250959,mucs2021,93,547.0,39.66544401942393,True
778006,mucs2021,87,542.06,39.33023601748381,True
415128,mucs2021,113,725.0,39.31146042090738,True
137649,mucs2021,86,606.0,39.30777210791224,True
662206,mucs2021,120,576.06,39.30394489638644,True
524348,mucs2021,103,658.06,38.83635614738448,True
769240,mucs2021,70,434.07,38.71088382903838,True
300562,mucs2021,150,871.99,38.420515086269056,True
972699,mucs2021,117,607.0,38.31832654443212,True
209556,mucs2021,157,924.04,38.17850914198669,True
690775,mucs2021,84,628.0,38.14744250226481,True
515068,mucs2021,54,389.06,38.14217842488714,True
152820,mucs2021,90,476.03,37.83622516022648,True
354092,mucs2021,138,871.0,37.68581070647595,True
548977,mucs2021,130,704.03,37.674009946465134,True
604593,mucs2021,157,809.33,37.20104019656266,True
518692,mucs2021,71,400.01,36.91855347693104,True
753781,mucs2021,68,391.0,36.55449397329577,True
332425,mucs2021,99,562.04,36.443068838112254,True
398648,mucs2021,104,639.1,36.3840742440137,True
991078,mucs2021,109,676.0,36.03435633550299,True
750299,mucs2021,95,442.5,35.66410232794079,True
593250,mucs2021,111,668.05,35.39683039167184,True
677495,mucs2021,68,446.03,35.35064266002292,True
582014,mucs2021,111,630.27,35.283835321894585,True
104662,mucs2021,100,553.0,35.12804700778398,True
740014,mucs2021,169,878.03,34.738589956890884,True
238852,mucs2021,89,763.11,33.777076528802766,True
552137,mucs2021,48,227.0,33.64983167293906,True
693909,mucs2021,88,569.07,33.57002588988424,True
791503,mucs2021,151,680.03,33.54699399110938,True
726277,mucs2021,70,482.39,32.915692444078104,True
603426,mucs2021,110,557.0,32.83697219323004,True
340898,mucs2021,125,621.73,32.83456816093669,True
831321,mucs2021,82,568.03,32.137177036127255,True
617567,mucs2021,132,681.7,31.049544095958115,True
381057,mucs2021,94,748.06,30.80906314538326,True
175258,mucs2021,93,462.07,30.761803181677948,True
982951,mucs2021,98,699.5,30.484026348867776,True
132353,mucs2021,101,715.25,29.94500326319661,True
417432,mucs2021,112,723.99,28.65047274304309,True
470499,mucs2021,60,473.83,28.379062679130442,True
383400,mucs2021,114,724.01,24.52986395837926,True
